pupilnolongeronrolltableid,NativeId,termlysessiondetailsoffrolltableid,termlysessiondetailsoffrollorderseqcolumn,sourceid,sessions,attendancereason
108085dc-6ae,SCH6,4421df61,256,4b96c0de,142.0,N
108085dc-6ae,SCH6,43c6b734,260,4b96c0de,127.0,O
108085dc-6ae,SCH6,4e64c6e8,259,4b96c0de,130.0,U
10da5b5e-45b,SCH4,3b24ad8b,264,91def24f,122.0,O
10da5b5e-45b,SCH4,fb8ef28a,263,91def24f,129.0,T
10e12ddb-bd9,SCH6,545c8e01,266,b01a8bba,133.0,E
10e12ddb-bd9,SCH6,a8d87b22,265,b01a8bba,129.0,I
110cfbe1-c05,SCH3,b8789373,270,d7e6fa4c,122.0,E
110cfbe1-c05,SCH3,07b98ae6,268,d7e6fa4c,127.0,G
110cfbe1-c05,SCH3,a3ef3a27,269,d7e6fa4c,140.0,I
110cfbe1-c05,SCH3,aa78d793,272,d7e6fa4c,130.0,M
110cfbe1-c05,SCH3,67a0fc9a,267,d7e6fa4c,133.0,N
113ae099-384,SCH3,ab6e7777,273,ec1eeb5f,116.0,#
113ae099-384,SCH3,569f8630,275,ec1eeb5f,130.0,C
113ae099-384,SCH3,f0999f59,276,ec1eeb5f,124.0,E
113ae099-384,SCH3,1e3dcacb,279,ec1eeb5f,131.0,G
113ae099-384,SCH3,02a2a0c9,274,ec1eeb5f,135.0,H
113ae099-384,SCH3,713fed68,277,ec1eeb5f,130.0,R
113ae099-384,SCH3,3b09d6bd,280,ec1eeb5f,123.0,X
1141c6ee-c5b,SCH4,34f96fb8,284,2b6d9a62,114.0,M
1141c6ee-c5b,SCH4,e0ac2d4e,283,2b6d9a62,128.0,R
11f44cd7-210,SCH2,2bf6a9d6,285,257ac744,126.0,C
11f44cd7-210,SCH2,34f0a147,289,257ac744,131.0,E
11f44cd7-210,SCH2,902bd3ed,286,257ac744,129.0,I
11f44cd7-210,SCH2,68b4945c,288,257ac744,137.0,N
11f44cd7-210,SCH2,92569909,287,257ac744,136.0,O
11f44cd7-210,SCH2,1855bc18,292,257ac744,124.0,R
11f44cd7-210,SCH2,9cbda389,291,257ac744,135.0,T
11f44cd7-210,SCH2,22e59163,290,257ac744,138.0,Y
12b84291-b86,SCH4,e46904ac,302,906d9306,131.0,#
12b84291-b86,SCH4,c845a61a,297,906d9306,134.0,C
12b84291-b86,SCH4,93eed5b0,299,906d9306,133.0,H
12b84291-b86,SCH4,a2f96656,295,906d9306,142.0,M
12b84291-b86,SCH4,49942ed4,296,906d9306,132.0,N
12b84291-b86,SCH4,a3511064,298,906d9306,132.0,S
12b84291-b86,SCH4,b9614301,301,906d9306,125.0,U
1303fa33-cbe,SCH5,35456505,305,b5b4c581,130.0,G
1303fa33-cbe,SCH5,c0146c11,303,b5b4c581,137.0,H
1303fa33-cbe,SCH5,fcde08fa,304,b5b4c581,135.0,N
1303fa33-cbe,SCH5,f93f7331,306,b5b4c581,130.0,R
13634b10-b7d,SCH5,18a2849d,307,4658d910,130.0,H
13634b10-b7d,SCH5,545c1ad2,308,4658d910,127.0,N
13b7f165-56a,SCH5,d0f1b118,309,930e66cc,126.0,I
13b7f165-56a,SCH5,253e4241,310,930e66cc,130.0,S
13b7f165-56a,SCH5,b4a7f8f7,311,930e66cc,134.0,Y
14784faa-02d,SCH3,806a6ca8,314,b1a0ff4e,135.0,C
14784faa-02d,SCH3,391aa1ba,312,b1a0ff4e,141.0,N
14784faa-02d,SCH3,1749088a,313,b1a0ff4e,135.0,Y
160f7979-385,SCH1,0381ac82,315,dda6c833,126.0,U
161cf588-652,SCH7,86eca392,316,92326778,133.0,E
161cf588-652,SCH7,ccf392f7,317,92326778,131.0,I
161cf588-652,SCH7,aef5a55f,319,92326778,136.0,O
161cf588-652,SCH7,7c7091da,318,92326778,120.0,T
16251609-89e,SCH2,b24c6cce,329,c018a319,128.0,E
16251609-89e,SCH2,bfdaaaec,328,c018a319,136.0,H
16251609-89e,SCH2,ff68b04a,331,c018a319,129.0,M
16251609-89e,SCH2,7f067094,330,c018a319,124.0,R
16251609-89e,SCH4,2963bd90,326,ca030a1d,132.0,E
16251609-89e,SCH4,6c2845fc,325,ca030a1d,129.0,G
16251609-89e,SCH4,4c6f55fd,321,ca030a1d,132.0,M
16251609-89e,SCH4,858a98c7,322,ca030a1d,136.0,N
16251609-89e,SCH4,08d11961,324,ca030a1d,133.0,R
16251609-89e,SCH4,708eee81,327,ca030a1d,135.0,S
16251609-89e,SCH4,efc934f6,320,ca030a1d,133.0,X
1690972d-910,SCH4,a98f3802,339,db61249d,124.0,G
1690972d-910,SCH4,14d1c715,338,db61249d,132.0,H
1690972d-910,SCH4,1e2b4c84,335,db61249d,124.0,I
1690972d-910,SCH4,37b9bd51,334,db61249d,125.0,M
1690972d-910,SCH4,68aef93f,332,db61249d,130.0,N
1690972d-910,SCH4,7644e8f3,337,db61249d,131.0,T
1690972d-910,SCH4,18d123ea,333,db61249d,,U
1690972d-910,SCH4,a17d0e25,336,db61249d,130.0,X
172260c8-4ad,SCH6,0ef9998c,340,f510a58b,137.0,C
1795282e-54e,SCH2,451e68d6,342,5f5144c2,129.0,C
1795282e-54e,SCH2,22d24633,343,5f5144c2,135.0,M
1795282e-54e,SCH2,b262df5b,347,5f5144c2,121.0,R
1795282e-54e,SCH2,ff1f0f77,341,5f5144c2,139.0,X
1795282e-54e,SCH2,607e0788,345,5f5144c2,128.0,Y
1893358a-01a,SCH4,f477633d,350,bd272c88,135.0,#
189b3e57-962,SCH8,186eeb58,353,d6ae4f44,130.0,C
189b3e57-962,SCH8,c24c1e90,351,d6ae4f44,123.0,E
189b3e57-962,SCH8,b9856853,356,d6ae4f44,135.0,H
189b3e57-962,SCH8,0c9a04ec,352,d6ae4f44,127.0,M
189b3e57-962,SCH8,07b130e7,354,d6ae4f44,128.0,N
189b3e57-962,SCH8,6d104c78,355,d6ae4f44,143.0,Y
1bebb9d1-a41,SCH5,8aa4a7a0,358,07f4e219,123.0,I
1bf7bebf-7fc,SCH5,70644f9d,361,f8a61f1c,136.0,E
1bf7bebf-7fc,SCH5,99717f87,360,f8a61f1c,133.0,S
1ca28f00-ac2,SCH8,12549621,365,ebd8f6d4,134.0,#
1ca28f00-ac2,SCH8,c5d585ee,363,ebd8f6d4,128.0,C
1ca28f00-ac2,SCH8,1f30e9ab,368,ebd8f6d4,127.0,E
1ca28f00-ac2,SCH8,d51859bf,366,ebd8f6d4,123.0,G
1ca28f00-ac2,SCH8,be3dcfe5,369,ebd8f6d4,126.0,H
1ca28f00-ac2,SCH8,e5415c39,364,ebd8f6d4,140.0,M
1ca28f00-ac2,SCH8,8e9eaf3a,362,ebd8f6d4,133.0,R
1ca28f00-ac2,SCH8,dcfb9e13,367,ebd8f6d4,127.0,Z
1d6cf60f-410,SCH1,8ac87083,372,8d562be1,130.0,E
1d6cf60f-410,SCH1,c77d0858,374,8d562be1,135.0,I
1d6cf60f-410,SCH1,8e49f213,375,8d562be1,127.0,N
1d6cf60f-410,SCH1,4dcf99e4,376,8d562be1,136.0,Y
1d6cf60f-410,SCH3,b9549656,384,f6e0ce22,126.0,E
1d6cf60f-410,SCH3,5d714b7b,382,f6e0ce22,128.0,I
1d6cf60f-410,SCH3,516f78eb,381,f6e0ce22,127.0,R
1d6cf60f-410,SCH3,5c6bf9e1,385,f6e0ce22,,U
1e4fdc58-e3a,SCH1,4db9aa06,388,6cd0a738,127.0,G
1ee09090-4b0,SCH2,db7642f8,395,a1ee7b79,135.0,C
1ee09090-4b0,SCH2,a0ece949,389,a1ee7b79,126.0,G
1ee09090-4b0,SCH2,64f29777,391,a1ee7b79,138.0,H
1ee09090-4b0,SCH2,3b653efa,393,a1ee7b79,140.0,I
1ee09090-4b0,SCH2,3bfe69c1,397,a1ee7b79,129.0,M
1ee09090-4b0,SCH2,783020d2,394,a1ee7b79,134.0,R
1ee09090-4b0,SCH2,46352f6f,392,a1ee7b79,126.0,T
1ee09090-4b0,SCH2,1c2e8ae9,390,a1ee7b79,126.0,U
1ee09090-4b0,SCH2,56b6cbc8,396,a1ee7b79,124.0,Y
1ee6e6fe-22e,SCH5,affa097c,398,6b552031,134.0,C
1ee6e6fe-22e,SCH5,3038efc9,401,6b552031,135.0,E
1ee6e6fe-22e,SCH5,f2401690,399,6b552031,131.0,I
1ee6e6fe-22e,SCH5,463078f0,400,6b552031,133.0,T
1f0fbb1d-63f,SCH8,f366fe32,406,7ab4043e,130.0,C
1f0fbb1d-63f,SCH8,35e53967,403,7ab4043e,126.0,G
1f0fbb1d-63f,SCH8,5f45ec1a,402,7ab4043e,138.0,O
1f0fbb1d-63f,SCH8,1b9b77e9,405,7ab4043e,136.0,Y
20e593d9-fba,SCH7,60807c74,408,f02cab3e,132.0,C
20e593d9-fba,SCH7,f63508d2,413,f02cab3e,133.0,H
20e593d9-fba,SCH7,f81f9015,411,f02cab3e,128.0,M
20e593d9-fba,SCH7,9bb75406,414,f02cab3e,129.0,O
20e593d9-fba,SCH7,ed0250ba,412,f02cab3e,133.0,R
20e593d9-fba,SCH7,505207bd,407,f02cab3e,137.0,U
20e593d9-fba,SCH7,1f70d44a,410,f02cab3e,133.0,X
21ff3d55-58e,SCH8,048ccb4b,418,2b72a0df,125.0,C
21ff3d55-58e,SCH8,e3c396f7,419,2b72a0df,130.0,E
21ff3d55-58e,SCH8,18033969,415,2b72a0df,134.0,G
21ff3d55-58e,SCH8,67b88a7b,416,2b72a0df,140.0,I
21ff3d55-58e,SCH8,86b51e60,420,2b72a0df,122.0,X
21ff3d55-58e,SCH8,239a58f9,421,2b72a0df,124.0,Y
2231871b-cc3,SCH2,2bd3c6e3,426,e2e1961b,134.0,G
2231871b-cc3,SCH2,cda2b3b9,427,e2e1961b,127.0,I
2231871b-cc3,SCH2,59733441,428,e2e1961b,132.0,O
2231871b-cc3,SCH2,fd9ebd75,429,e2e1961b,131.0,R
2231871b-cc3,SCH2,6a848640,425,e2e1961b,133.0,U
2231871b-cc3,SCH2,3b3830ee,430,e2e1961b,119.0,Z
22839ccf-ff2,SCH4,40a609f6,437,f8b35364,130.0,I
22839ccf-ff2,SCH4,0c2c45b7,435,f8b35364,135.0,M
22839ccf-ff2,SCH4,cdca86c7,431,f8b35364,127.0,N
22839ccf-ff2,SCH4,30046dea,436,f8b35364,129.0,O
22839ccf-ff2,SCH4,3e09acda,433,f8b35364,120.0,S
22839ccf-ff2,SCH4,14c08938,432,f8b35364,130.0,T
23d2b1a8-4a6,SCH7,1aa016ce,439,07b7e44f,130.0,C
23d2b1a8-4a6,SCH7,d8d792c8,444,07b7e44f,131.0,G
23d2b1a8-4a6,SCH7,6684623f,440,07b7e44f,139.0,I
23d2b1a8-4a6,SCH7,12f0ae1b,438,07b7e44f,130.0,N
23d2b1a8-4a6,SCH7,5464b079,441,07b7e44f,131.0,S
2401da04-436,SCH4,b3836a55,452,30a5f24f,133.0,#
2401da04-436,SCH4,811e787d,447,30a5f24f,134.0,C
2401da04-436,SCH4,bb394094,450,30a5f24f,127.0,E
2401da04-436,SCH4,068f7857,445,30a5f24f,127.0,G
2401da04-436,SCH4,8ae4dc6d,446,30a5f24f,130.0,I
2401da04-436,SCH4,4b3db46b,449,30a5f24f,140.0,M
2401da04-436,SCH4,fdd75f12,448,30a5f24f,131.0,N
2401da04-436,SCH4,e1f07922,451,30a5f24f,130.0,Z
24069911-8d1,SCH2,d2c176fc,465,b31446e7,125.0,E
24069911-8d1,SCH2,fe8e48b1,464,b31446e7,126.0,O
24069911-8d1,SCH6,7c542304,457,3fccdca3,132.0,C
24069911-8d1,SCH6,43adf442,454,3fccdca3,125.0,G
24069911-8d1,SCH6,734df3b8,461,3fccdca3,135.0,H
24069911-8d1,SCH6,653280df,455,3fccdca3,121.0,M
24069911-8d1,SCH6,5a94f3fd,456,3fccdca3,126.0,N
24069911-8d1,SCH6,3cdadd19,463,3fccdca3,121.0,S
240ea586-475,SCH2,7e857e95,466,28152385,134.0,G
240ea586-475,SCH2,1fdc9264,470,28152385,128.0,I
240ea586-475,SCH2,4af4f9d5,469,28152385,136.0,M
240ea586-475,SCH2,1a292641,468,28152385,128.0,N
240ea586-475,SCH2,5316a5ab,467,28152385,119.0,Z
24760f44-1f5,SCH4,49a0c241,471,aff6721c,132.0,M
24df6e6b-b98,SCH7,e7401dcc,481,c38e4906,129.0,C
24df6e6b-b98,SCH7,25cb8450,474,c38e4906,132.0,E
24df6e6b-b98,SCH7,81a42d69,482,c38e4906,123.0,H
24df6e6b-b98,SCH7,00cd5e37,475,c38e4906,135.0,I
24df6e6b-b98,SCH7,c1868216,476,c38e4906,134.0,R
24df6e6b-b98,SCH7,372b1aa6,478,c38e4906,133.0,T
24df6e6b-b98,SCH7,8bfb0bf0,477,c38e4906,127.0,X
254d2b56-b05,SCH5,a6129d80,483,082bbf4d,130.0,C
254d2b56-b05,SCH5,cb4948aa,485,082bbf4d,133.0,G
254d2b56-b05,SCH5,744aa51f,484,082bbf4d,129.0,H
254d2b56-b05,SCH5,60da8640,486,082bbf4d,127.0,I
254d2b56-b05,SCH5,790f7baa,487,082bbf4d,133.0,O
254d2b56-b05,SCH5,f1199902,489,082bbf4d,133.0,S
254d2b56-b05,SCH5,e7d63d9a,490,082bbf4d,122.0,U
