pupilnolongeronrolltableid,NativeId,termlyexclusionsoffrolltableid,termlyexclusionsoffrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
0dfd8155-615,SCH2,a561bab4,28,a121453d,2025-May-13 00:00:00,10.0,PA,BU,,FIXD,S
0dfd8155-615,SCH2,42e39092,29,a121453d,2025-May-28 00:00:00,10.0,MT,,,FIXD,E
0e5e86c6-a76,SCH7,00e11a22,30,831f883d,2025-Jun-26 00:00:00,10.0,TH,PA,,PERM,E
0e5e86c6-a76,SCH7,37475486,31,831f883d,2025-Jul-13 00:00:00,10.0,TH,VP,,FIXD,
0e5e86c6-a76,SCH6,569e5562,32,d7d0693a,2025-Jul-07 00:00:00,10.0,DA,,,FIXD,
0eca0d8b-94c,SCH5,38781026,33,0f265b02,2025-Jun-13 00:00:00,10.0,MT,PP,,FIXD,A
0eca0d8b-94c,SCH5,58b9a1b3,34,0f265b02,2025-May-25 00:00:00,10.0,RA,,,FIXD,
0eca0d8b-94c,SCH5,0850775a,35,0f265b02,2025-May-21 00:00:00,10.0,PA,,,PERM,
0eca0d8b-94c,SCH5,485e4caa,36,0f265b02,2025-May-12 00:00:00,10.0,PA,VP,,FIXD,S
0eca0d8b-94c,SCH5,cc2550fe,37,0f265b02,2025-Jun-04 00:00:00,10.0,PP,,,FIXD,P
0eca0d8b-94c,SCH5,b6528d0e,38,0f265b02,2025-Apr-22 00:00:00,10.0,VP,RA,,PERM,
0eca0d8b-94c,SCH5,fd6a5108,39,0f265b02,2025-Jun-08 00:00:00,10.0,DA,,,LNCH,E
0eca0d8b-94c,SCH5,0420b7db,40,0f265b02,2025-Apr-28 00:00:00,10.0,VP,,,PERM,N
113ae099-384,SCH3,66dd5f00,41,ec1eeb5f,2025-Jun-29 00:00:00,10.0,BU,,,PERM,P
113ae099-384,SCH3,f04dd25d,42,ec1eeb5f,2025-Jun-29 00:00:00,10.0,PP,DA,,FIXD,E
113ae099-384,SCH3,405d325a,43,ec1eeb5f,2025-Jul-08 00:00:00,10.0,SM,,,LNCH,
113ae099-384,SCH3,f960d239,44,ec1eeb5f,2025-May-10 00:00:00,10.0,PA,,,FIXD,K
113ae099-384,SCH3,f17c96af,45,ec1eeb5f,2025-Jul-03 00:00:00,10.0,BU,,DA,LNCH,
113ae099-384,SCH3,6a1b12b7,46,ec1eeb5f,2025-May-28 00:00:00,10.0,DB,PA,,FIXD,
113ae099-384,SCH3,16295243,47,ec1eeb5f,2025-Apr-29 00:00:00,10.0,BU,VP,,LNCH,S
113ae099-384,SCH3,511a5856,48,ec1eeb5f,2025-Apr-24 00:00:00,10.0,VP,SM,,LNCH,K
113ae099-384,SCH3,7b615c17,49,ec1eeb5f,2025-Jun-02 00:00:00,10.0,PA,,,PERM,
113ae099-384,SCH3,c56826de,50,ec1eeb5f,2025-May-18 00:00:00,10.0,RA,,,LNCH,K
1141c6ee-c5b,SCH4,169c60f8,51,2b6d9a62,2025-May-26 00:00:00,10.0,PA,PP,,LNCH,N
1141c6ee-c5b,SCH4,29439c7d,52,2b6d9a62,2025-May-31 00:00:00,10.0,DB,VP,,PERM,A
1141c6ee-c5b,SCH4,be7e0cf0,53,2b6d9a62,2025-May-13 00:00:00,10.0,VA,,,PERM,
1141c6ee-c5b,SCH4,0eb2322b,54,2b6d9a62,2025-Apr-25 00:00:00,10.0,MT,,,FIXD,
1141c6ee-c5b,SCH4,9b0a7b4e,55,2b6d9a62,2025-Jul-05 00:00:00,10.0,VA,,,PERM,E
1141c6ee-c5b,SCH4,4c5f0946,56,2b6d9a62,2025-May-12 00:00:00,10.0,SM,,,PERM,P
12b84291-b86,SCH4,41220136,57,906d9306,2025-Jul-07 00:00:00,10.0,TH,VP,,PERM,S
12b84291-b86,SCH4,72d57fc8,58,906d9306,2025-Jun-23 00:00:00,10.0,TH,,,PERM,N
12b84291-b86,SCH4,ed2b3d68,59,906d9306,2025-Jun-06 00:00:00,10.0,PP,,,LNCH,P
12b84291-b86,SCH4,c80ca217,60,906d9306,2025-Apr-21 00:00:00,10.0,PP,VP,,PERM,
12b84291-b86,SCH4,06b9d088,61,906d9306,2025-Apr-21 00:00:00,10.0,PA,,,PERM,K
160f7979-385,SCH1,fc69c582,62,dda6c833,2025-May-10 00:00:00,10.0,PP,,,PERM,
160f7979-385,SCH1,5942824b,63,dda6c833,2025-May-06 00:00:00,10.0,SM,RA,,FIXD,
16251609-89e,SCH4,e6121116,64,ca030a1d,2025-Apr-23 00:00:00,10.0,BU,,,FIXD,K
16251609-89e,SCH2,2b3ae4e9,65,c018a319,2025-May-27 00:00:00,10.0,MT,,PP,LNCH,A
16251609-89e,SCH2,53ba57ba,66,c018a319,2025-May-10 00:00:00,10.0,RA,VA,,PERM,E
16251609-89e,SCH2,2f391e32,67,c018a319,2025-May-03 00:00:00,10.0,PP,,,FIXD,
16251609-89e,SCH2,b474301e,68,c018a319,2025-Jun-08 00:00:00,10.0,DA,,,PERM,S
16251609-89e,SCH2,964c87ea,69,c018a319,2025-Jun-23 00:00:00,10.0,VP,PA,,LNCH,E
16251609-89e,SCH2,6b1399c5,70,c018a319,2025-May-02 00:00:00,10.0,VP,,,PERM,N
16251609-89e,SCH2,ce3ae46a,71,c018a319,2025-Jul-07 00:00:00,10.0,VA,VA,,PERM,
16251609-89e,SCH2,08f8674d,72,c018a319,2025-Jun-02 00:00:00,10.0,PA,,DA,LNCH,
16251609-89e,SCH2,72f462dc,73,c018a319,2025-Jul-12 00:00:00,10.0,VP,,,PERM,
16251609-89e,SCH2,c4e79be7,74,c018a319,2025-May-20 00:00:00,10.0,RA,,,PERM,
1d6cf60f-410,SCH3,44a2af83,75,f6e0ce22,2025-Jun-15 00:00:00,10.0,SM,,,LNCH,N
1d6cf60f-410,SCH3,425f3ef1,76,f6e0ce22,2025-Jun-23 00:00:00,10.0,MT,,,PERM,
1d6cf60f-410,SCH3,57bba0b8,77,f6e0ce22,2025-Jul-07 00:00:00,10.0,PP,,,PERM,
1d6cf60f-410,SCH3,d5fe7c70,78,f6e0ce22,2025-Jul-03 00:00:00,10.0,VA,,,PERM,E
1d6cf60f-410,SCH3,e2fe62d9,79,f6e0ce22,2025-May-25 00:00:00,10.0,VP,,,PERM,
1d6cf60f-410,SCH3,748b9276,80,f6e0ce22,2025-Jul-14 00:00:00,10.0,DB,,,LNCH,
1d6cf60f-410,SCH3,54faa815,81,f6e0ce22,2025-May-24 00:00:00,10.0,PA,,BU,PERM,
1d6cf60f-410,SCH3,574400ea,82,f6e0ce22,2025-Jul-14 00:00:00,10.0,VP,DA,,PERM,S
1e4fdc58-e3a,SCH1,b84d67dd,83,6cd0a738,2025-Jun-04 00:00:00,10.0,BU,,,PERM,E
1e4fdc58-e3a,SCH1,5392329d,84,6cd0a738,2025-Jul-08 00:00:00,10.0,VP,BU,,PERM,P
1e4fdc58-e3a,SCH1,87a6f855,85,6cd0a738,2025-May-04 00:00:00,10.0,RA,PP,,PERM,K
1e4fdc58-e3a,SCH1,fffe4f08,86,6cd0a738,2025-Jun-01 00:00:00,10.0,PP,,,FIXD,
1e4fdc58-e3a,SCH1,9e8c4084,87,6cd0a738,2025-May-05 00:00:00,10.0,PP,,,PERM,N
1e4fdc58-e3a,SCH1,9911ab58,88,6cd0a738,2025-Jun-17 00:00:00,10.0,MT,,VA,PERM,N
1e4fdc58-e3a,SCH1,b1a33292,89,6cd0a738,2025-Jul-04 00:00:00,10.0,DM,,,FIXD,K
1e4fdc58-e3a,SCH1,e2d58666,90,6cd0a738,2025-May-12 00:00:00,10.0,RA,,,LNCH,
1e4fdc58-e3a,SCH1,bbab4cc7,91,6cd0a738,2025-May-28 00:00:00,10.0,PP,,PA,PERM,
1ee09090-4b0,SCH2,b0e80142,92,a1ee7b79,2025-May-12 00:00:00,10.0,VA,RA,,LNCH,P
1f0fbb1d-63f,SCH8,0956900c,93,7ab4043e,2025-May-25 00:00:00,10.0,RA,,,FIXD,
1f0fbb1d-63f,SCH8,e8641d5b,94,7ab4043e,2025-Jun-19 00:00:00,10.0,MT,,,FIXD,
22839ccf-ff2,SCH4,b54d8f92,95,f8b35364,2025-Jul-03 00:00:00,10.0,PA,,,PERM,
22839ccf-ff2,SCH4,b78db6ab,96,f8b35364,2025-Jul-06 00:00:00,10.0,SM,,,PERM,
22839ccf-ff2,SCH4,22e405d3,97,f8b35364,2025-Jun-23 00:00:00,10.0,MT,PP,,LNCH,
22839ccf-ff2,SCH4,fb9d689d,98,f8b35364,2025-Jun-29 00:00:00,10.0,BU,BU,,FIXD,
22839ccf-ff2,SCH4,18be4b79,99,f8b35364,2025-Jul-08 00:00:00,10.0,PP,,,FIXD,
22839ccf-ff2,SCH4,d52031dd,100,f8b35364,2025-Jul-13 00:00:00,10.0,DM,BU,,LNCH,S
22839ccf-ff2,SCH4,b9e49fb6,101,f8b35364,2025-Jun-25 00:00:00,10.0,RA,,,LNCH,
22839ccf-ff2,SCH4,1ca7dea3,102,f8b35364,2025-May-01 00:00:00,10.0,VA,SM,,FIXD,S
22839ccf-ff2,SCH4,eadb9d51,103,f8b35364,2025-May-04 00:00:00,10.0,VP,,,FIXD,S
24069911-8d1,SCH2,60a76721,104,b31446e7,2025-Jun-03 00:00:00,10.0,SM,,,LNCH,
24069911-8d1,SCH2,2b444637,105,b31446e7,2025-Jun-26 00:00:00,10.0,RA,SM,,FIXD,K
24069911-8d1,SCH2,9c0a5b6d,106,b31446e7,2025-May-24 00:00:00,10.0,PP,BU,,FIXD,N
24069911-8d1,SCH2,6d036638,107,b31446e7,2025-May-06 00:00:00,10.0,PA,,,FIXD,E
24069911-8d1,SCH2,bd069651,108,b31446e7,2025-Jun-01 00:00:00,10.0,TH,,,LNCH,A
24069911-8d1,SCH2,b8febc43,109,b31446e7,2025-Jun-27 00:00:00,10.0,TH,,,FIXD,A
24069911-8d1,SCH2,34eac60f,110,b31446e7,2025-Jun-05 00:00:00,10.0,RA,DB,,PERM,
24069911-8d1,SCH2,bebc9829,111,b31446e7,2025-May-29 00:00:00,10.0,VP,VA,,PERM,
24069911-8d1,SCH2,d0d8e5ac,112,b31446e7,2025-Jul-12 00:00:00,10.0,DB,,,PERM,K
2cfbbd56-cc2,SCH4,56cd2761,113,dbda8509,2025-May-19 00:00:00,10.0,BU,,,LNCH,
2cfbbd56-cc2,SCH4,25be2569,114,dbda8509,2025-Jul-04 00:00:00,10.0,DB,,,PERM,S
2cfbbd56-cc2,SCH4,c1e1fff9,115,dbda8509,2025-May-09 00:00:00,10.0,PA,PA,,PERM,N
2cfbbd56-cc2,SCH4,2a8834d1,116,dbda8509,2025-Apr-26 00:00:00,10.0,PP,PA,,PERM,
309bee05-fe2,SCH3,cd3c885e,117,1837a30d,2025-Jul-03 00:00:00,10.0,VP,VA,MT,FIXD,S
309bee05-fe2,SCH3,d5ee8206,118,1837a30d,2025-Apr-28 00:00:00,10.0,PP,,,FIXD,
3103aa3d-76e,SCH5,0a598a88,119,0b6ca1d8,2025-May-13 00:00:00,10.0,VA,,,LNCH,P
3103aa3d-76e,SCH5,f7b5c823,120,0b6ca1d8,2025-Jun-08 00:00:00,10.0,VP,VP,,FIXD,S
3103aa3d-76e,SCH5,1baa1ea8,121,0b6ca1d8,2025-Jul-03 00:00:00,10.0,DA,,,FIXD,
3103aa3d-76e,SCH5,526c0394,122,0b6ca1d8,2025-Jul-02 00:00:00,10.0,BU,VP,,FIXD,E
3103aa3d-76e,SCH5,77d582ab,123,0b6ca1d8,2025-May-06 00:00:00,10.0,DA,VP,,LNCH,
3103aa3d-76e,SCH5,ebf13270,124,0b6ca1d8,2025-Jul-05 00:00:00,10.0,PP,,,PERM,K
3103aa3d-76e,SCH5,84dc6faa,125,0b6ca1d8,2025-Jun-15 00:00:00,10.0,VP,,,FIXD,E
3103aa3d-76e,SCH5,b46be909,126,0b6ca1d8,2025-Jun-18 00:00:00,10.0,TH,,,FIXD,P
3103aa3d-76e,SCH5,f7a2fe73,127,0b6ca1d8,2025-Apr-30 00:00:00,10.0,SM,,,LNCH,E
3103aa3d-76e,SCH5,95ae0444,128,0b6ca1d8,2025-May-18 00:00:00,10.0,PP,TH,,PERM,
32bb8992-101,SCH6,29c29e52,129,75a9852e,2025-Jul-11 00:00:00,10.0,VA,,,FIXD,P
32bb8992-101,SCH6,efdef1a3,130,75a9852e,2025-May-17 00:00:00,10.0,PP,,,PERM,N
32bb8992-101,SCH6,bdb49a79,131,75a9852e,2025-Apr-23 00:00:00,10.0,DA,,,PERM,S
32bb8992-101,SCH6,f9e6ed25,132,75a9852e,2025-Jul-11 00:00:00,10.0,SM,,,PERM,
32bb8992-101,SCH6,ddfa8433,133,75a9852e,2025-Apr-29 00:00:00,10.0,RA,DB,,FIXD,N
32bb8992-101,SCH6,923d28f6,134,75a9852e,2025-May-05 00:00:00,10.0,DA,,,PERM,K
32bb8992-101,SCH6,159fae3b,135,75a9852e,2025-Jul-05 00:00:00,10.0,PP,VP,,LNCH,
32bb8992-101,SCH6,d14a8b12,136,75a9852e,2025-Jun-03 00:00:00,10.0,RA,,,LNCH,A
32bb8992-101,SCH6,adbd7318,137,75a9852e,2025-May-12 00:00:00,10.0,TH,,,LNCH,
3343f1d3-a25,SCH3,3a904177,138,b3236092,2025-May-18 00:00:00,10.0,MT,PP,,LNCH,
3343f1d3-a25,SCH3,feca329d,139,b3236092,2025-Apr-30 00:00:00,10.0,TH,,DB,FIXD,P
3343f1d3-a25,SCH3,305af1f1,140,b3236092,2025-Jun-29 00:00:00,10.0,DB,,,FIXD,
3343f1d3-a25,SCH3,2a7f7d2b,141,b3236092,2025-Jul-08 00:00:00,10.0,SM,,,PERM,P
3343f1d3-a25,SCH3,e97b03b7,142,b3236092,2025-Jun-19 00:00:00,10.0,VA,PA,,PERM,
3343f1d3-a25,SCH3,000003dc,143,b3236092,2025-Jun-15 00:00:00,10.0,PP,,,PERM,S
3343f1d3-a25,SCH3,c39d8019,144,b3236092,2025-Apr-29 00:00:00,10.0,VP,,,PERM,A
35256145-04a,SCH4,49632bae,145,b36debd1,2025-Apr-26 00:00:00,10.0,BU,,,PERM,P
35256145-04a,SCH4,9dfe56af,146,b36debd1,2025-Jul-05 00:00:00,10.0,PP,,,FIXD,S
35256145-04a,SCH4,81afd60f,147,b36debd1,2025-May-04 00:00:00,10.0,VA,BU,,FIXD,A
35256145-04a,SCH4,97617fcc,148,b36debd1,2025-Apr-20 00:00:00,10.0,TH,,,PERM,E
35256145-04a,SCH4,0e5760bd,149,b36debd1,2025-Jun-13 00:00:00,10.0,BU,,,FIXD,
35256145-04a,SCH4,163f63ee,150,b36debd1,2025-Jun-25 00:00:00,10.0,RA,RA,PA,FIXD,
35256145-04a,SCH4,d10aca54,151,b36debd1,2025-May-31 00:00:00,10.0,VA,,,PERM,
35256145-04a,SCH4,30352538,152,b36debd1,2025-Jun-01 00:00:00,10.0,SM,,,FIXD,
35256145-04a,SCH4,df91b6dc,153,b36debd1,2025-May-05 00:00:00,10.0,BU,,,PERM,E
35256145-04a,SCH4,97455e09,154,b36debd1,2025-May-19 00:00:00,10.0,TH,,,FIXD,
36bff8b2-d86,SCH7,6ec5928a,155,2eeaae7f,2025-Jul-08 00:00:00,10.0,VA,,,PERM,
36bff8b2-d86,SCH7,44c53624,156,2eeaae7f,2025-Apr-30 00:00:00,10.0,PP,,,FIXD,A
36bff8b2-d86,SCH7,fa614797,157,2eeaae7f,2025-May-30 00:00:00,10.0,VA,,,FIXD,
36bff8b2-d86,SCH7,ccac24ab,158,2eeaae7f,2025-Jul-12 00:00:00,10.0,VP,,,LNCH,
389f57dd-df3,SCH8,4cac132b,159,b6bed790,2025-Jun-18 00:00:00,10.0,VA,,BU,PERM,K
389f57dd-df3,SCH8,2a92b135,160,b6bed790,2025-Apr-27 00:00:00,10.0,TH,,,PERM,
389f57dd-df3,SCH8,65d21d3f,161,b6bed790,2025-Apr-28 00:00:00,10.0,SM,,,FIXD,K
389f57dd-df3,SCH8,52e1f8fb,162,b6bed790,2025-Jul-09 00:00:00,10.0,PP,SM,,FIXD,
38c56e38-807,SCH5,49043d54,163,bc594b25,2025-May-19 00:00:00,10.0,SM,VP,PA,PERM,S
38c56e38-807,SCH5,a7b95947,164,bc594b25,2025-Jun-17 00:00:00,10.0,PP,,,PERM,
38c56e38-807,SCH5,3e6ee54b,165,bc594b25,2025-May-30 00:00:00,10.0,VP,,,LNCH,N
38c56e38-807,SCH5,eb48af58,166,bc594b25,2025-Jul-09 00:00:00,10.0,VP,VA,,LNCH,
38c56e38-807,SCH5,13b88599,167,bc594b25,2025-Jun-06 00:00:00,10.0,VA,,,PERM,N
38c56e38-807,SCH5,767701a7,168,bc594b25,2025-May-31 00:00:00,10.0,TH,DM,,FIXD,K
38c56e38-807,SCH5,fc000993,169,bc594b25,2025-Apr-21 00:00:00,10.0,SM,,,PERM,
38c56e38-807,SCH5,3e4a1a20,170,bc594b25,2025-Apr-25 00:00:00,10.0,BU,,,FIXD,
38c56e38-807,SCH5,d7fca849,171,bc594b25,2025-Apr-20 00:00:00,10.0,BU,,,PERM,N
38c56e38-807,SCH5,5fc3b353,172,bc594b25,2025-Jun-01 00:00:00,10.0,SM,,,FIXD,N
3a9cb687-66c,SCH3,224d9d7e,173,27bb4326,2025-Jul-10 00:00:00,10.0,PA,,,FIXD,
3a9cb687-66c,SCH3,e4b985d8,174,27bb4326,2025-Apr-27 00:00:00,10.0,DM,,,PERM,E
3a9cb687-66c,SCH3,124cb019,175,27bb4326,2025-May-06 00:00:00,10.0,PA,,,FIXD,
3a9cb687-66c,SCH3,39d8d54f,176,27bb4326,2025-Jul-10 00:00:00,10.0,BU,,,PERM,A
3a9cb687-66c,SCH3,8c4c1b57,177,27bb4326,2025-Jun-03 00:00:00,10.0,VA,PA,,PERM,
3a9cb687-66c,SCH3,66c05800,178,27bb4326,2025-May-23 00:00:00,10.0,DB,,,PERM,
3a9cb687-66c,SCH3,3b7c7f96,179,27bb4326,2025-Jun-17 00:00:00,10.0,BU,PP,,FIXD,
3a9cb687-66c,SCH3,26787d9f,180,27bb4326,2025-Jul-06 00:00:00,10.0,VP,SM,,PERM,K
3f7476ef-ee6,SCH5,5a72019d,181,445767e6,2025-Jul-14 00:00:00,10.0,VA,DM,DA,PERM,A
3fc8fa74-f67,SCH5,a5a5bad0,182,3566933a,2025-Apr-21 00:00:00,10.0,PA,,,FIXD,K
3fc8fa74-f67,SCH5,42e7e52e,183,3566933a,2025-Jun-03 00:00:00,10.0,BU,,,FIXD,E
3fc8fa74-f67,SCH5,5fc1af5c,184,3566933a,2025-Jun-02 00:00:00,10.0,DA,,,FIXD,S
3fc8fa74-f67,SCH5,042fea9c,185,3566933a,2025-Jun-09 00:00:00,10.0,PP,DM,,PERM,
3fc8fa74-f67,SCH5,f56b5500,186,3566933a,2025-Apr-20 00:00:00,10.0,BU,,,PERM,A
3fc8fa74-f67,SCH5,e8272c0c,187,3566933a,2025-May-27 00:00:00,10.0,DM,,,FIXD,
3fc8fa74-f67,SCH5,98ccb0de,188,3566933a,2025-Jun-26 00:00:00,10.0,PA,PA,,FIXD,E
42bac0f8-dbb,SCH3,d80dc02c,189,e08fe8ad,2025-Jun-14 00:00:00,10.0,SM,,,PERM,
42bac0f8-dbb,SCH3,0ca4c558,190,e08fe8ad,2025-Jun-16 00:00:00,10.0,MT,,,LNCH,K
42bac0f8-dbb,SCH3,82aee1a8,191,e08fe8ad,2025-Jun-26 00:00:00,10.0,BU,,,PERM,N
42bac0f8-dbb,SCH3,5be8432e,192,e08fe8ad,2025-May-29 00:00:00,10.0,DA,,PA,PERM,S
42bac0f8-dbb,SCH3,54b9a8e9,193,e08fe8ad,2025-Jun-05 00:00:00,10.0,VA,,,PERM,
42bac0f8-dbb,SCH3,c82e710d,194,e08fe8ad,2025-Jun-25 00:00:00,10.0,MT,,,PERM,N
42bac0f8-dbb,SCH3,6cfb979f,195,e08fe8ad,2025-May-17 00:00:00,10.0,BU,TH,,FIXD,K
42bac0f8-dbb,SCH3,e9e5653c,196,e08fe8ad,2025-May-28 00:00:00,10.0,VA,,SM,FIXD,K
42bac0f8-dbb,SCH3,043eac0d,197,e08fe8ad,2025-Apr-26 00:00:00,10.0,RA,,,LNCH,
4a991b3c-d46,SCH3,fe259dfe,198,17117945,2025-Apr-27 00:00:00,10.0,SM,VP,,LNCH,
4a991b3c-d46,SCH3,d94983e6,199,17117945,2025-Apr-23 00:00:00,10.0,RA,,,FIXD,
4a991b3c-d46,SCH3,1ebf2b21,200,17117945,2025-Apr-24 00:00:00,10.0,DM,,,FIXD,N
4a991b3c-d46,SCH3,ffc6c75c,201,17117945,2025-Jun-27 00:00:00,10.0,MT,,,PERM,S
4c9cf993-2b7,SCH1,df2ac521,202,8c4bcf8b,2025-May-27 00:00:00,10.0,DA,,,PERM,
4c9cf993-2b7,SCH1,1d650ecc,203,8c4bcf8b,2025-Jul-13 00:00:00,10.0,PP,,,PERM,
4c9cf993-2b7,SCH1,258ee82b,204,8c4bcf8b,2025-Jun-29 00:00:00,10.0,DB,,,FIXD,
4c9cf993-2b7,SCH1,f1f97241,205,8c4bcf8b,2025-May-29 00:00:00,10.0,VP,,,FIXD,K
4e786a5b-e09,SCH3,34010e63,206,3ded4253,2025-Jul-01 00:00:00,10.0,MT,RA,,FIXD,
4e786a5b-e09,SCH3,4dfa7f9f,207,3ded4253,2025-May-22 00:00:00,10.0,RA,RA,,PERM,
4e786a5b-e09,SCH3,1e2e0259,208,3ded4253,2025-May-15 00:00:00,10.0,BU,,,FIXD,
4e786a5b-e09,SCH3,78e7f75f,209,3ded4253,2025-Jun-28 00:00:00,10.0,PP,RA,,FIXD,
4e786a5b-e09,SCH3,4793318c,210,3ded4253,2025-May-03 00:00:00,10.0,PP,,,FIXD,
4e9633e1-f0f,SCH6,6486bec0,211,91bc403a,2025-Jul-13 00:00:00,10.0,SM,PP,,PERM,
4e9633e1-f0f,SCH6,7030d0ef,212,91bc403a,2025-Jun-03 00:00:00,10.0,SM,,,LNCH,
4e9633e1-f0f,SCH6,d8ed30ad,213,91bc403a,2025-Jul-14 00:00:00,10.0,PA,,,FIXD,S
4f55b541-0bf,SCH7,72aa9776,214,85dbfb73,2025-Jun-29 00:00:00,10.0,TH,,,PERM,
50ba3257-7ce,SCH3,1e54627c,215,eff4862d,2025-Jun-02 00:00:00,10.0,BU,,,FIXD,S
50ba3257-7ce,SCH3,11b54500,216,eff4862d,2025-May-17 00:00:00,10.0,SM,,,FIXD,S
50ba3257-7ce,SCH3,12ad73ba,217,eff4862d,2025-May-04 00:00:00,10.0,BU,TH,,FIXD,
50ba3257-7ce,SCH3,ec85a586,218,eff4862d,2025-Apr-22 00:00:00,10.0,VP,SM,,PERM,
50ba3257-7ce,SCH3,367ef74d,219,eff4862d,2025-Jun-13 00:00:00,10.0,DM,PP,,PERM,
572006a9-12e,SCH7,75e51d1c,220,8bdca056,2025-Apr-27 00:00:00,10.0,DA,,,FIXD,N
572006a9-12e,SCH7,e75b12c5,221,8bdca056,2025-May-03 00:00:00,10.0,TH,DB,,PERM,N
57584045-ed5,SCH6,892eaa6e,222,8585d2c5,2025-May-21 00:00:00,10.0,DB,,,PERM,
57584045-ed5,SCH6,cd436095,223,8585d2c5,2025-Jun-10 00:00:00,10.0,RA,,,FIXD,N
57584045-ed5,SCH6,6454c411,224,8585d2c5,2025-May-04 00:00:00,10.0,SM,,,LNCH,N
5787a812-d79,SCH7,7de180ba,225,7abebe9a,2025-Jul-13 00:00:00,10.0,VA,DM,SM,PERM,S
5787a812-d79,SCH7,09ae866f,226,7abebe9a,2025-May-16 00:00:00,10.0,PA,SM,,PERM,
5787a812-d79,SCH7,94d035fb,227,7abebe9a,2025-May-04 00:00:00,10.0,BU,,,PERM,
5787a812-d79,SCH7,627ae3b1,228,7abebe9a,2025-May-31 00:00:00,10.0,TH,,,FIXD,N
5787a812-d79,SCH7,367d7bf6,229,7abebe9a,2025-Jul-06 00:00:00,10.0,VP,,,PERM,S
5787a812-d79,SCH7,f92d4a79,230,7abebe9a,2025-Apr-25 00:00:00,10.0,TH,,,FIXD,
5787a812-d79,SCH7,edf54ed7,231,7abebe9a,2025-Apr-20 00:00:00,10.0,MT,,,LNCH,A
5787a812-d79,SCH7,304a48ab,232,7abebe9a,2025-Jul-02 00:00:00,10.0,DB,PP,,LNCH,S
