pupilonrolltableid,NativeId,senneedstableid,senneedsorderseqcolumn,sourceid,sentyperank,sentype
03508675-23b,SCH1,79e5866e,216,e3110ab4,2.0,5bbdcce6
03508675-23b,SCH1,3e91b715,218,e3110ab4,3.0,5cf316c8
03508675-23b,SCH1,1e92745e,217,e3110ab4,3.0,99d5d25a
03508675-23b,SCH1,15e6c47b,220,e3110ab4,1.0,be3ea27a
03508675-23b,SCH1,702d5be6,219,e3110ab4,2.0,be68eb1c
038be476-cc3,SCH5,88cb8dfa,222,35ba773c,5.0,07b4c71b
038be476-cc3,SCH5,7fa5484c,221,35ba773c,1.0,2c0f7c07
038c2e27-cab,SCH8,0616fbc9,225,963848f4,5.0,0b4dd478
038c2e27-cab,SCH8,d6c65ce9,227,963848f4,1.0,20a6f70a
038c2e27-cab,SCH8,24201371,230,963848f4,4.0,76de053c
038c2e27-cab,SCH8,a5adc81d,229,963848f4,1.0,a4820a70
038c2e27-cab,SCH8,c6495268,232,963848f4,3.0,bf5492ee
038c2e27-cab,SCH8,aff6856c,228,963848f4,2.0,bf867154
038c2e27-cab,SCH8,65e69ea0,224,963848f4,1.0,f76bde01
038c2e27-cab,SCH8,478dbd5d,223,963848f4,3.0,f7e09b44
038c2e27-cab,SCH8,33ec14f0,231,963848f4,1.0,f83b97a5
038c2e27-cab,SCH8,167785da,226,963848f4,4.0,fe978ae8
03b8842c-a6f,SCH6,901006c3,234,c20160e0,1.0,4c6fe4fb
03b8842c-a6f,SCH6,ad12834f,233,c20160e0,1.0,5a7f7679
03b8842c-a6f,SCH6,9cc5730c,235,c20160e0,6.0,e6378130
03d32e11-910,SCH8,556cdb21,237,0b750952,2.0,c45bd2be
03d32e11-910,SCH8,e7ad4635,236,0b750952,2.0,fe70f03d
03d764f9-164,SCH7,bc3ccc2e,239,fdbe744c,1.0,28abe8d8
03d764f9-164,SCH7,c9f9f614,238,fdbe744c,1.0,389f6a61
03f81b6c-532,SCH8,4670d61a,243,208b7da1,4.0,4797bc54
03f81b6c-532,SCH8,e7c85d90,242,208b7da1,2.0,66031a41
03f81b6c-532,SCH8,c9e55069,240,208b7da1,3.0,ccc9be9d
03f81b6c-532,SCH8,5567db1e,241,208b7da1,4.0,d38c0c86
0444604c-694,SCH2,07f1f6d7,252,051c5bda,1.0,001bb3d2
0444604c-694,SCH2,0726f4e2,253,051c5bda,1.0,0fec55aa
0444604c-694,SCH2,be164f6a,248,051c5bda,3.0,45d2b0ae
0444604c-694,SCH2,fa6ea9c3,245,051c5bda,1.0,6622c947
0444604c-694,SCH2,6a6208ee,251,051c5bda,2.0,668c65f8
0444604c-694,SCH2,38d4bda9,244,051c5bda,1.0,8791f488
0444604c-694,SCH2,df1353df,249,051c5bda,1.0,8d4c7750
0444604c-694,SCH2,a3054f02,247,051c5bda,2.0,a79825a9
0444604c-694,SCH2,28b12e70,246,051c5bda,3.0,a82aea2e
0444604c-694,SCH2,3293a1ef,250,051c5bda,3.0,bab0c70f
04524f09-7e5,SCH5,14b17dd7,259,66e0e8fd,2.0,0c7f0d10
04524f09-7e5,SCH5,7a49de54,254,66e0e8fd,1.0,34fb40a5
04524f09-7e5,SCH5,4418c909,257,66e0e8fd,1.0,3ad17bd8
04524f09-7e5,SCH5,7b8dfd0f,260,66e0e8fd,4.0,657ab718
04524f09-7e5,SCH5,e31bb960,258,66e0e8fd,1.0,8a604414
04524f09-7e5,SCH5,44e1bddc,256,66e0e8fd,3.0,9e73b548
04524f09-7e5,SCH5,1b2a1d27,261,66e0e8fd,3.0,a94e8e68
04524f09-7e5,SCH5,687c961e,255,66e0e8fd,1.0,e190e93b
0453f131-7e2,SCH8,299c0a06,267,c678c47e,3.0,0ec8f6b6
0453f131-7e2,SCH8,597c7e88,264,c678c47e,1.0,33c877b0
0453f131-7e2,SCH8,99134cd8,262,c678c47e,6.0,521e8453
0453f131-7e2,SCH8,ae4f5887,265,c678c47e,1.0,6efec628
0453f131-7e2,SCH8,efc72c81,263,c678c47e,2.0,8a271ed4
0453f131-7e2,SCH8,7b3938d6,266,c678c47e,1.0,c90a4c63
047552d7-c31,SCH5,7522a14b,271,2ba1e0ff,5.0,0672a63d
047552d7-c31,SCH5,b28ed246,270,2ba1e0ff,1.0,11529bc8
047552d7-c31,SCH5,16a1c02f,274,2ba1e0ff,1.0,174e6164
047552d7-c31,SCH5,26c0c72e,277,2ba1e0ff,4.0,5dc10d77
047552d7-c31,SCH5,bedd17a5,269,2ba1e0ff,2.0,65ef48ad
047552d7-c31,SCH5,bda207db,272,2ba1e0ff,1.0,73b5bf22
047552d7-c31,SCH5,f2c50d32,275,2ba1e0ff,3.0,921d5554
047552d7-c31,SCH5,99f643a2,273,2ba1e0ff,1.0,9d9ae589
047552d7-c31,SCH5,7714bcce,276,2ba1e0ff,1.0,d61e6bae
047552d7-c31,SCH5,9102bcc6,268,2ba1e0ff,5.0,e2bf9052
049a1e36-273,SCH5,f2de609a,278,0233dde0,3.0,10cc3b7e
049a1e36-273,SCH5,5cf90e42,285,0233dde0,2.0,13c9c08b
049a1e36-273,SCH5,ce3fec7d,282,0233dde0,4.0,2a3fa8d2
049a1e36-273,SCH5,8340ee19,283,0233dde0,4.0,36fb83a9
049a1e36-273,SCH5,c32fa862,281,0233dde0,1.0,67b942ac
049a1e36-273,SCH5,5a61af3e,286,0233dde0,1.0,94adb2b9
049a1e36-273,SCH5,39e23890,280,0233dde0,1.0,a468776a
049a1e36-273,SCH5,9e362316,287,0233dde0,2.0,c3331b29
049a1e36-273,SCH5,c458f283,279,0233dde0,6.0,cba03b90
049a1e36-273,SCH5,97e775b2,284,0233dde0,1.0,ede14321
04dc2391-b22,SCH2,c01a9d5e,288,13e6a280,5.0,248ff4fc
04dc2391-b22,SCH2,0bd98587,289,13e6a280,2.0,72aca857
04dc2391-b22,SCH2,7066b61d,290,13e6a280,1.0,f3054c9a
04f6c154-19a,SCH3,db4d7f4e,293,79c8d02d,2.0,291f8c2f
04f6c154-19a,SCH3,28241d99,291,79c8d02d,1.0,34c08b81
04f6c154-19a,SCH3,77f07d46,292,79c8d02d,1.0,537501c9
04f6c154-19a,SCH3,c61b5e11,294,79c8d02d,4.0,5a7a7428
051df6c9-b35,SCH3,3fbf5f96,299,ec7ec337,1.0,53bc165c
051df6c9-b35,SCH3,58ca09a2,295,ec7ec337,3.0,68c9f1a5
051df6c9-b35,SCH3,9186536e,297,ec7ec337,5.0,7e61e3a3
051df6c9-b35,SCH3,3d53f630,298,ec7ec337,1.0,c85e8868
051df6c9-b35,SCH3,b755f38e,296,ec7ec337,2.0,d49f619e
05312852-b56,SCH3,6e6e063a,300,dbe53cdc,4.0,3e5aca23
05420408-efb,SCH2,91f18d6a,302,45ce34e7,1.0,2e768ce6
05420408-efb,SCH2,c0c82498,301,45ce34e7,4.0,a7778800
05420408-efb,SCH2,08192502,304,45ce34e7,1.0,b188df06
05420408-efb,SCH2,c9b29694,305,45ce34e7,4.0,b60b40ad
05420408-efb,SCH2,d47046cc,303,45ce34e7,1.0,dcae8243
05698dca-2ae,SCH7,e0f9ab56,309,386c7925,1.0,0a3da7a1
05698dca-2ae,SCH7,8fb4b93d,310,386c7925,3.0,30486a83
05698dca-2ae,SCH7,8dfea892,308,386c7925,6.0,814cdf39
05698dca-2ae,SCH7,9e9d64c0,306,386c7925,1.0,d7b3ccc1
05698dca-2ae,SCH7,07a88b46,307,386c7925,1.0,f4b55884
0598e21a-387,SCH3,bf56c943,316,b355954b,1.0,0798dd54
0598e21a-387,SCH3,8c5fc068,314,b355954b,1.0,61b23837
0598e21a-387,SCH3,281b40c5,311,b355954b,1.0,a54a911b
0598e21a-387,SCH3,4ccaf4ff,312,b355954b,1.0,c125b11e
0598e21a-387,SCH3,e1e75d90,313,b355954b,4.0,d6f90a4b
0598e21a-387,SCH3,f741311a,315,b355954b,2.0,e32c768b
059d7c42-6fa,SCH6,a408f7b3,318,f5ff1b81,6.0,20b27da7
059d7c42-6fa,SCH6,e4c4bbc5,317,f5ff1b81,6.0,9fdfbf19
059d7c42-6fa,SCH6,a986cfe5,319,f5ff1b81,1.0,f32d100e
059fa684-b63,SCH5,3fefbec5,320,d6bb2110,5.0,4b3c2903
059fa684-b63,SCH5,834b24b3,321,d6bb2110,2.0,aee3be50
05b16258-a68,SCH7,f49f1472,323,bc66c25b,5.0,191711e6
05b16258-a68,SCH7,b572d3eb,324,bc66c25b,4.0,53280787
05b16258-a68,SCH7,26086ce2,322,bc66c25b,3.0,7fb39197
05ca0bb5-9f5,SCH6,67cb98f7,326,6b656b3a,1.0,2843ee71
05ca0bb5-9f5,SCH6,5b89ed2b,325,6b656b3a,1.0,40e1c354
05ca0bb5-9f5,SCH6,e4472248,330,6b656b3a,2.0,590f05f3
05ca0bb5-9f5,SCH6,65ef4e5e,331,6b656b3a,2.0,782775b5
05ca0bb5-9f5,SCH6,9c712794,328,6b656b3a,6.0,828ece01
05ca0bb5-9f5,SCH6,9c953a25,327,6b656b3a,5.0,c00f91dd
05ca0bb5-9f5,SCH6,8e501586,329,6b656b3a,1.0,fb968318
05e11c27-b9a,SCH7,5717d472,333,c0bc175c,4.0,4b44cf7a
05e11c27-b9a,SCH7,57242449,334,c0bc175c,2.0,714e927b
05e11c27-b9a,SCH7,d97c369f,335,c0bc175c,1.0,7c61de59
05e11c27-b9a,SCH7,0cdd7ea9,338,c0bc175c,1.0,8489ecad
05e11c27-b9a,SCH7,d8e516dc,336,c0bc175c,1.0,9a0d5abf
05e11c27-b9a,SCH7,234810d5,337,c0bc175c,1.0,f28c5643
05e11c27-b9a,SCH7,965ac177,332,c0bc175c,1.0,fc10d6c0
05f8b707-08e,SCH4,4dd01184,340,a2d6947a,2.0,09d0da61
05f8b707-08e,SCH4,d2528080,339,a2d6947a,3.0,69defb99
05f8b707-08e,SCH4,71febb80,341,a2d6947a,3.0,960a4192
05f8b707-08e,SCH4,ebf13e93,342,a2d6947a,1.0,b1f3d509
05fd374e-932,SCH8,0b01c8cd,343,bff4e92d,7.0,21ed4f33
05fd374e-932,SCH8,a22e15f8,344,bff4e92d,1.0,911c2253
060512b3-d21,SCH5,38b94a28,345,3b7fb953,1.0,2789d339
060512b3-d21,SCH5,6e5122f6,346,3b7fb953,1.0,7f893a07
0605c37c-bbd,SCH4,27e01d54,349,4652962c,1.0,9da5485a
0605c37c-bbd,SCH4,fa0b7589,347,4652962c,1.0,bff7e50e
0605c37c-bbd,SCH4,d0bb4804,348,4652962c,1.0,e83a3c29
0605d45a-c7c,SCH7,75a4a3ec,352,dc4f47a2,3.0,1cf6b527
0605d45a-c7c,SCH7,8f09caa6,357,dc4f47a2,5.0,276d52c7
0605d45a-c7c,SCH7,d0d2f936,355,dc4f47a2,1.0,3420279d
0605d45a-c7c,SCH7,83c0adc7,356,dc4f47a2,5.0,45a6410e
