pupilonrolltableid,NativeId,termlysessiondetailsonrolltableid,termlysessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
0134a3c5-4bc,SCH5,4c508a2a,215,8aef8a1b,127.0,M
0134a3c5-4bc,SCH5,bf0500f9,212,8aef8a1b,139.0,S
01359d1e-dc2,SCH1,adf9caa4,217,f9d2a6e4,138.0,C
01359d1e-dc2,SCH1,33c1e387,221,f9d2a6e4,132.0,E
01359d1e-dc2,SCH1,cd526111,216,f9d2a6e4,130.0,H
01359d1e-dc2,SCH1,02b08447,222,f9d2a6e4,136.0,I
01359d1e-dc2,SCH1,83812e86,224,f9d2a6e4,131.0,N
01359d1e-dc2,SCH1,8a7f763d,218,f9d2a6e4,125.0,O
013dbd2f-629,SCH6,5231fe51,225,1dadd8d9,133.0,M
013dbd2f-629,SCH6,970fa546,228,1dadd8d9,118.0,R
013dbd2f-629,SCH6,912019c7,227,1dadd8d9,128.0,U
013e6c4a-b75,SCH6,e8bac660,229,faa798e1,124.0,M
013e6c4a-b75,SCH6,48677b06,230,faa798e1,135.0,R
01488c87-02d,SCH2,83fcae79,233,07c9ecdc,141.0,E
01488c87-02d,SCH2,38ca3c5d,232,07c9ecdc,135.0,G
01488c87-02d,SCH2,ab6fc364,237,07c9ecdc,136.0,H
01488c87-02d,SCH2,7b82ec09,234,07c9ecdc,130.0,I
01488c87-02d,SCH2,6943ce3d,231,07c9ecdc,134.0,R
0154b5e1-bf5,SCH2,32fb6be1,241,8f390bb1,138.0,C
0154b5e1-bf5,SCH2,252bb5a7,239,8f390bb1,126.0,E
0154b5e1-bf5,SCH2,9ab65c1e,238,8f390bb1,132.0,H
0154b5e1-bf5,SCH2,8292119a,240,8f390bb1,135.0,N
0154b5e1-bf5,SCH2,40429fba,244,8f390bb1,133.0,R
0154b5e1-bf5,SCH2,1d5ea610,243,8f390bb1,140.0,T
0154b5e1-bf5,SCH2,9c99fd1b,242,8f390bb1,129.0,U
01564caa-913,SCH6,2ecbb141,248,4810b282,131.0,H
01564caa-913,SCH6,67825eaa,245,4810b282,136.0,R
01564caa-913,SCH6,92750eac,246,4810b282,126.0,X
015a50c2-e95,SCH3,066e965a,253,10fa2749,122.0,C
015a50c2-e95,SCH3,b7361531,250,10fa2749,131.0,H
015a50c2-e95,SCH3,3d669c02,255,10fa2749,125.0,I
015a50c2-e95,SCH3,4569a73b,249,10fa2749,129.0,M
015a50c2-e95,SCH3,4d5753bd,254,10fa2749,130.0,O
015a50c2-e95,SCH3,af2f458a,251,10fa2749,128.0,Y
015e1d34-e1e,SCH6,f33d8b7d,263,eea4b8ec,133.0,G
015e1d34-e1e,SCH6,b3753460,259,eea4b8ec,130.0,M
015e1d34-e1e,SCH6,c802c2e7,256,eea4b8ec,133.0,N
015e1d34-e1e,SCH6,90272cda,258,eea4b8ec,132.0,S
015e1d34-e1e,SCH6,2cce9b11,261,eea4b8ec,135.0,X
015e2ada-f29,SCH8,d4b0c609,265,c2775ccd,126.0,G
015e2ada-f29,SCH8,5c2ea87f,264,c2775ccd,136.0,H
0162b45c-a58,SCH7,54259caf,269,af2a696e,127.0,C
0162b45c-a58,SCH7,3c349a10,266,af2a696e,131.0,I
0162b45c-a58,SCH7,72719048,268,af2a696e,134.0,N
0162b45c-a58,SCH7,411fd17b,271,af2a696e,134.0,R
0162b45c-a58,SCH7,a6f1b8cf,267,af2a696e,136.0,Y
016343eb-e88,SCH7,549e8bdf,273,8e1b20a8,135.0,C
016343eb-e88,SCH7,efb8264e,276,8e1b20a8,134.0,E
016343eb-e88,SCH7,419f01ca,274,8e1b20a8,132.0,G
016343eb-e88,SCH7,c1f55722,278,8e1b20a8,127.0,I
016343eb-e88,SCH7,4b0626ed,275,8e1b20a8,132.0,R
016343eb-e88,SCH7,ca29c633,280,8e1b20a8,136.0,S
016343eb-e88,SCH7,44e9296c,277,8e1b20a8,131.0,Y
01645986-534,SCH8,3bd12922,287,c30435b5,113.0,C
01645986-534,SCH8,8c2019cc,288,c30435b5,122.0,G
01645986-534,SCH8,5bf5afae,284,c30435b5,136.0,H
01645986-534,SCH8,2fdec9ec,283,c30435b5,138.0,M
01645986-534,SCH8,c9da1ec9,282,c30435b5,128.0,N
01645986-534,SCH8,feb8f327,290,c30435b5,128.0,T
01645986-534,SCH8,f9748aa8,289,c30435b5,133.0,U
01645986-534,SCH8,6c39a9a4,285,c30435b5,139.0,Y
016a3e1b-2a5,SCH7,55a94aed,292,9127a5db,131.0,C
016a3e1b-2a5,SCH7,a71be204,296,9127a5db,125.0,M
016a3e1b-2a5,SCH7,c106c679,294,9127a5db,140.0,N
016a3e1b-2a5,SCH7,2164c345,295,9127a5db,127.0,Z
016e97a4-301,SCH8,7d1fbf48,300,1495c510,129.0,H
016e97a4-301,SCH8,e554e7c1,299,1495c510,123.0,N
016e97a4-301,SCH8,fa461428,302,1495c510,131.0,S
016e97a4-301,SCH8,0b012f9f,301,1495c510,131.0,Y
016e97a4-301,SCH8,6c573413,298,1495c510,128.0,Z
017aa6c2-fe1,SCH6,292b6694,304,aedf3e55,131.0,C
017aa6c2-fe1,SCH6,1a8516db,306,aedf3e55,137.0,G
017aa6c2-fe1,SCH6,f740918a,303,aedf3e55,135.0,I
017aa6c2-fe1,SCH6,f9a38bec,307,aedf3e55,126.0,N
017aa6c2-fe1,SCH6,79c3ae31,305,aedf3e55,132.0,R
017fffe4-75c,SCH8,18cff765,314,235a6981,142.0,C
017fffe4-75c,SCH8,0ab4ee51,311,235a6981,131.0,E
017fffe4-75c,SCH8,cfe97d7e,313,235a6981,135.0,G
017fffe4-75c,SCH8,19631013,312,235a6981,126.0,H
017fffe4-75c,SCH8,59647855,315,235a6981,132.0,S
017fffe4-75c,SCH8,38abb22f,317,235a6981,123.0,T
017fffe4-75c,SCH8,a0fdcd9f,310,235a6981,131.0,X
0183bc4b-6ce,SCH2,b88873e7,326,5d7ec590,128.0,C
0183bc4b-6ce,SCH2,454d8953,320,5d7ec590,132.0,E
0183bc4b-6ce,SCH2,aac1d23c,323,5d7ec590,124.0,G
0183bc4b-6ce,SCH2,39e11cac,322,5d7ec590,135.0,H
0183bc4b-6ce,SCH2,970099c4,321,5d7ec590,129.0,I
0183bc4b-6ce,SCH2,f42a4b1f,318,5d7ec590,132.0,O
0183bc4b-6ce,SCH2,f0eade57,319,5d7ec590,,T
0183bc4b-6ce,SCH2,d6168500,324,5d7ec590,126.0,U
0183bc4b-6ce,SCH2,8c0141e6,325,5d7ec590,124.0,X
0185afe5-85c,SCH2,9ea42fa3,330,f203a907,137.0,C
0185afe5-85c,SCH2,f18749f0,329,f203a907,133.0,G
0185afe5-85c,SCH2,a64889c8,328,f203a907,125.0,N
01861a4b-993,SCH1,aba027a1,333,cda5c33d,139.0,O
0188f245-602,SCH8,8dc05299,340,a2329ed9,127.0,C
0188f245-602,SCH8,a62228e1,334,a2329ed9,139.0,G
0188f245-602,SCH8,2c59d181,341,a2329ed9,137.0,I
0188f245-602,SCH8,7888f2f0,338,a2329ed9,125.0,M
0188f245-602,SCH8,035ff669,336,a2329ed9,130.0,N
0188f245-602,SCH8,e87c7a5e,335,a2329ed9,124.0,O
0188f245-602,SCH8,5cd770ab,337,a2329ed9,127.0,R
019cfc62-962,SCH6,6a7fa3f9,344,72ea9975,136.0,E
019cfc62-962,SCH6,2e72ee66,349,72ea9975,127.0,H
019cfc62-962,SCH6,cdf0ab29,347,72ea9975,126.0,I
019cfc62-962,SCH6,7e706e33,343,72ea9975,126.0,N
019cfc62-962,SCH6,41db65d9,345,72ea9975,128.0,R
019cfc62-962,SCH6,eb8c9fe2,346,72ea9975,129.0,Y
019df92f-194,SCH7,26af04f7,350,c47b9fc0,134.0,N
019df92f-194,SCH7,720184b8,351,c47b9fc0,128.0,U
01a0b4d1-79b,SCH8,84f69a51,361,0f00f121,135.0,C
01a0b4d1-79b,SCH8,d3a7c079,359,0f00f121,121.0,E
01a0b4d1-79b,SCH8,2d94d38f,353,0f00f121,,H
01a0b4d1-79b,SCH8,80259728,356,0f00f121,128.0,I
01a0b4d1-79b,SCH8,cc0309d0,354,0f00f121,129.0,S
01a0b4d1-79b,SCH8,e94e4168,355,0f00f121,138.0,X
01a0b4d1-79b,SCH8,bc1dfac9,358,0f00f121,128.0,Y
01a0b4d1-79b,SCH8,8e9424ae,360,0f00f121,137.0,Z
01aa8772-70d,SCH2,54c93c97,369,7d6be345,130.0,C
01aa8772-70d,SCH2,ac162e16,365,7d6be345,135.0,E
01aa8772-70d,SCH2,ce0e35bf,364,7d6be345,132.0,G
01aa8772-70d,SCH2,1196daa5,370,7d6be345,134.0,M
01aa8772-70d,SCH2,26a83a91,367,7d6be345,132.0,O
01aa8772-70d,SCH2,bb5d2a6e,366,7d6be345,135.0,S
01aa8772-70d,SCH2,d0dd7d63,372,7d6be345,129.0,T
01aa8772-70d,SCH2,9c3c480b,371,7d6be345,127.0,U
01aa8772-70d,SCH2,b36a5edc,363,7d6be345,131.0,X
01ab75f8-504,SCH1,4203add5,373,64b0a4d4,124.0,E
01af0693-90a,SCH7,a1a406ed,377,db91b8ac,124.0,C
01af0693-90a,SCH7,8058f7c0,378,db91b8ac,138.0,E
01af0693-90a,SCH7,290052bb,380,db91b8ac,133.0,G
01af0693-90a,SCH7,07e4db12,375,db91b8ac,128.0,H
01af0693-90a,SCH7,b80bb21e,374,db91b8ac,133.0,I
01af0693-90a,SCH7,b922b2ee,376,db91b8ac,134.0,T
01b4b057-87a,SCH5,838fbccb,382,1d308936,133.0,E
01b4b057-87a,SCH5,dd0b2a4f,383,1d308936,128.0,H
01b4b057-87a,SCH5,09ad73fe,381,1d308936,126.0,I
01b4b057-87a,SCH5,e0d9d985,385,1d308936,119.0,M
01b4b057-87a,SCH5,afeb7a25,384,1d308936,131.0,N
01b4b057-87a,SCH5,817564ef,387,1d308936,133.0,O
01cc47ac-658,SCH1,87a6ab50,395,a5364a78,129.0,C
01cc47ac-658,SCH1,52348b76,397,a5364a78,142.0,G
01cc47ac-658,SCH1,ac4a1c6f,393,a5364a78,131.0,H
01cc47ac-658,SCH1,5b5b51cb,389,a5364a78,125.0,M
01cc47ac-658,SCH1,4ccaf21e,391,a5364a78,126.0,N
01cc47ac-658,SCH1,916b353f,392,a5364a78,126.0,O
01cc47ac-658,SCH1,90851617,394,a5364a78,128.0,R
01cc47ac-658,SCH1,db1d2549,398,a5364a78,138.0,U
01cc47ac-658,SCH1,54663be6,396,a5364a78,125.0,Y
01da4f0d-44e,SCH3,58c70326,403,947a7dd8,128.0,#
01da4f0d-44e,SCH3,1f4ab911,400,947a7dd8,118.0,C
01da4f0d-44e,SCH3,f824e807,404,947a7dd8,130.0,G
01da4f0d-44e,SCH3,e86adafc,405,947a7dd8,131.0,H
01da4f0d-44e,SCH3,84796993,399,947a7dd8,126.0,M
01da4f0d-44e,SCH3,ee3cc543,407,947a7dd8,129.0,R
01da4f0d-44e,SCH3,fcf772df,401,947a7dd8,123.0,T
01da4f0d-44e,SCH3,de9ce836,402,947a7dd8,130.0,Y
01dfc5f8-834,SCH4,0026d5e0,411,d2ed446a,121.0,C
01dfc5f8-834,SCH4,4b712461,413,d2ed446a,139.0,I
01dfc5f8-834,SCH4,76fa5023,408,d2ed446a,128.0,M
01dfc5f8-834,SCH4,1b647efe,412,d2ed446a,128.0,N
01dfc5f8-834,SCH4,b998824f,410,d2ed446a,128.0,O
01dfc5f8-834,SCH4,81a5b4c2,409,d2ed446a,133.0,R
01ebda30-5a0,SCH2,02775a2f,414,1e743341,127.0,U
01ed06bc-72e,SCH3,28ca9d1a,416,0e7b16d0,139.0,N
01ed06bc-72e,SCH3,8c05a556,415,0e7b16d0,119.0,O
01ed06bc-72e,SCH3,65e9adc1,417,0e7b16d0,132.0,X
0200b7ed-ca9,SCH1,16326a7d,420,35b2e320,131.0,#
0200b7ed-ca9,SCH1,ed76450e,421,35b2e320,132.0,E
0200b7ed-ca9,SCH1,14215477,418,35b2e320,130.0,G
0200b7ed-ca9,SCH1,e6066d5f,419,35b2e320,129.0,H
0200b7ed-ca9,SCH1,b4f1282b,425,35b2e320,125.0,M
0200b7ed-ca9,SCH1,847b852f,424,35b2e320,129.0,O
0200b7ed-ca9,SCH1,f76c7784,423,35b2e320,132.0,R
0200b7ed-ca9,SCH1,944395ec,422,35b2e320,137.0,X
0207ff07-7f7,SCH3,4b3c7902,430,cbf3bd13,137.0,C
0207ff07-7f7,SCH3,34ac235f,433,cbf3bd13,134.0,E
0207ff07-7f7,SCH3,9691b356,428,cbf3bd13,134.0,G
0207ff07-7f7,SCH3,b2c3359d,427,cbf3bd13,135.0,H
0207ff07-7f7,SCH3,bfd4d30f,429,cbf3bd13,125.0,T
0207ff07-7f7,SCH3,aa84b479,426,cbf3bd13,126.0,X
0209d767-3ec,SCH2,7cd34fa8,436,939ce180,138.0,G
0209d767-3ec,SCH2,e17cc0a6,435,939ce180,123.0,I
0209d767-3ec,SCH2,b05344a4,434,939ce180,133.0,N
020de71c-5f0,SCH2,5e4e5929,439,0563d663,128.0,C
020de71c-5f0,SCH2,2133b233,441,0563d663,131.0,E
020de71c-5f0,SCH2,7218d1e1,442,0563d663,130.0,I
020de71c-5f0,SCH2,235d0e14,440,0563d663,136.0,N
021425e0-64f,SCH5,8ceca56e,447,ff3931ba,126.0,G
021425e0-64f,SCH5,a6bd3ed0,445,ff3931ba,120.0,I
021425e0-64f,SCH5,9e73bab1,444,ff3931ba,133.0,M
021425e0-64f,SCH5,74b272c5,446,ff3931ba,137.0,N
02149e28-3dc,SCH5,062c8d89,450,49ed406b,134.0,C
02149e28-3dc,SCH5,487e627c,449,49ed406b,125.0,H
02149e28-3dc,SCH5,77c266f8,454,49ed406b,130.0,N
02149e28-3dc,SCH5,babbef4c,451,49ed406b,132.0,T
02149e28-3dc,SCH5,05c452d6,452,49ed406b,129.0,U
02149e28-3dc,SCH5,1980882d,448,49ed406b,132.0,X
02211e5a-3f0,SCH2,b28e7f4d,457,436bcdbd,138.0,C
02211e5a-3f0,SCH2,d20129a1,456,436bcdbd,130.0,U
022173c1-4fe,SCH2,c103b99e,458,af92bc86,132.0,C
022306da-25f,SCH3,7a46a6e6,460,f98fd81d,136.0,H
0228116d-6b3,SCH6,3fa7d752,465,708be33b,128.0,E
0228116d-6b3,SCH6,9c6d8318,461,708be33b,130.0,H
0228116d-6b3,SCH6,60096333,462,708be33b,128.0,N
0228116d-6b3,SCH6,bdc2fef2,463,708be33b,132.0,R
02332c43-1fe,SCH2,53653aef,474,d1b8477f,122.0,C
02332c43-1fe,SCH2,1f4bd23d,473,d1b8477f,122.0,E
02332c43-1fe,SCH2,366784b4,468,d1b8477f,131.0,M
02332c43-1fe,SCH2,4e06516d,470,d1b8477f,126.0,N
02332c43-1fe,SCH2,1c6a05b4,471,d1b8477f,125.0,O
02332c43-1fe,SCH2,32d3386b,469,d1b8477f,130.0,R
02332c43-1fe,SCH2,834a2b39,472,d1b8477f,124.0,U
023864e0-886,SCH5,8d5d21c1,477,dc0e24f7,130.0,E
023864e0-886,SCH5,e7b86ecf,476,dc0e24f7,140.0,S
0239b80f-bcc,SCH2,57220d41,478,9ce515d5,136.0,E
0239b80f-bcc,SCH2,bdd602d0,479,9ce515d5,125.0,H
0239b80f-bcc,SCH2,611b8584,481,9ce515d5,137.0,I
0239b80f-bcc,SCH2,d5f262d1,480,9ce515d5,138.0,M
0239b80f-bcc,SCH2,600266f9,484,9ce515d5,131.0,N
0239b80f-bcc,SCH2,40bc82ad,482,9ce515d5,129.0,O
023d6276-432,SCH6,8f85764a,491,46580fa4,126.0,#
023d6276-432,SCH6,3acd9151,487,46580fa4,136.0,E
023d6276-432,SCH6,1e552e39,490,46580fa4,130.0,H
023d6276-432,SCH6,d9fc7986,489,46580fa4,132.0,N
023d6276-432,SCH6,b71143d3,492,46580fa4,127.0,O
023d6276-432,SCH6,22b994e9,495,46580fa4,128.0,Z
02472728-188,SCH8,3f3c8889,499,dbf27066,135.0,C
02472728-188,SCH8,769886dc,497,dbf27066,126.0,E
02472728-188,SCH8,63bc8975,496,dbf27066,129.0,G
02472728-188,SCH8,8be12412,500,dbf27066,136.0,I
02472728-188,SCH8,b1f122df,498,dbf27066,131.0,N
