pupilonrolltableid,NativeId,fsmperiodtableid,fsmperiodorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
00f6b660-59e,SCH2,22bd0d66,72,bc793f46,2025-Jul-07 00:00:00,2025-Apr-22 00:00:00,ENG
00f6b660-59e,SCH2,2fe1e179,73,bc793f46,2025-Jul-08 00:00:00,,ENG
00f6b660-59e,SCH2,8feb29eb,74,bc793f46,2025-Jun-09 00:00:00,,ENG
00f6b660-59e,SCH2,969efbe0,75,bc793f46,2025-May-28 00:00:00,2025-Jun-01 00:00:00,ENG
00f6b660-59e,SCH2,a41a1e1d,76,bc793f46,2025-Apr-26 00:00:00,,ENG
00f6b660-59e,SCH2,d30c824c,77,bc793f46,2025-May-07 00:00:00,2025-Jun-03 00:00:00,
00f6b660-59e,SCH2,b72196a6,78,bc793f46,2025-Jun-15 00:00:00,,
01080e0c-45b,SCH6,cc53d5d3,79,71d5c6f2,2025-Jun-17 00:00:00,,ENG
01080e0c-45b,SCH6,ebfc251e,80,71d5c6f2,2025-Jul-08 00:00:00,2025-May-11 00:00:00,NIR
01080e0c-45b,SCH6,7889179e,81,71d5c6f2,2025-May-22 00:00:00,2025-May-23 00:00:00,ENG
01080e0c-45b,SCH6,b3b3019f,82,71d5c6f2,2025-May-06 00:00:00,,ENG
01080e0c-45b,SCH6,13853237,83,71d5c6f2,2025-May-12 00:00:00,2025-May-04 00:00:00,
01080e0c-45b,SCH6,1699ee1e,84,71d5c6f2,2025-May-13 00:00:00,2025-Jun-09 00:00:00,SCT
01080e0c-45b,SCH6,a9295b8c,85,71d5c6f2,2025-May-06 00:00:00,,NIR
01080e0c-45b,SCH6,e78f1928,86,71d5c6f2,2025-Jun-30 00:00:00,2025-Jul-01 00:00:00,ENG
01080e0c-45b,SCH6,bce02301,87,71d5c6f2,2025-Apr-22 00:00:00,2025-Jun-13 00:00:00,SCT
01080e0c-45b,SCH6,dbf68f7c,88,71d5c6f2,2025-Jul-14 00:00:00,,SCT
010aa4cb-931,SCH2,61f2d540,89,63275b1b,2025-May-19 00:00:00,,ENG
010aa4cb-931,SCH2,3a1959e0,90,63275b1b,2025-May-21 00:00:00,2025-Jun-17 00:00:00,
010aa4cb-931,SCH2,cc500bff,91,63275b1b,2025-Jul-02 00:00:00,2025-May-22 00:00:00,ENG
010aa4cb-931,SCH2,446495d9,92,63275b1b,2025-May-04 00:00:00,,ENG
010aa4cb-931,SCH2,fc1f170d,93,63275b1b,2025-Apr-28 00:00:00,,
010aa4cb-931,SCH2,2865d50f,94,63275b1b,2025-Jun-05 00:00:00,2025-May-04 00:00:00,ENG
010aa4cb-931,SCH2,0f3635fe,95,63275b1b,2025-Jun-26 00:00:00,2025-Jun-30 00:00:00,ENG
010d4a31-384,SCH1,a6ea1cde,96,5c6143d9,2025-Apr-21 00:00:00,2025-May-15 00:00:00,ENG
010d4a31-384,SCH1,9cbf3109,97,5c6143d9,2025-Jun-28 00:00:00,2025-May-06 00:00:00,ENG
010d4a31-384,SCH1,e62d0543,98,5c6143d9,2025-Jun-25 00:00:00,,SCT
010d4a31-384,SCH1,6e9f610b,99,5c6143d9,2025-Apr-24 00:00:00,,SCT
010d4a31-384,SCH1,5006f26b,100,5c6143d9,2025-May-13 00:00:00,,
010d4a31-384,SCH1,f2407237,101,5c6143d9,2025-May-20 00:00:00,,ENG
010d4a31-384,SCH1,88878b46,102,5c6143d9,2025-May-14 00:00:00,,ENG
01488c87-02d,SCH2,c3e5da07,103,91b36261,2025-Jun-24 00:00:00,2025-Jun-18 00:00:00,ENG
01488c87-02d,SCH2,88755bd0,104,91b36261,2025-Jul-02 00:00:00,,ENG
01564caa-913,SCH6,c2ddf950,105,a92cbc6c,2025-May-09 00:00:00,2025-Jun-19 00:00:00,ENG
01564caa-913,SCH6,23857498,106,a92cbc6c,2025-Jun-15 00:00:00,,ENG
01564caa-913,SCH6,a635d7d6,107,a92cbc6c,2025-May-02 00:00:00,,ENG
01564caa-913,SCH6,9f08b443,108,a92cbc6c,2025-Jun-02 00:00:00,2025-Jul-09 00:00:00,SCT
01564caa-913,SCH6,3781020f,109,a92cbc6c,2025-Jun-11 00:00:00,,
01564caa-913,SCH6,140816b5,110,a92cbc6c,2025-Jun-17 00:00:00,2025-Jun-11 00:00:00,ENG
01564caa-913,SCH6,8d62a2c2,111,a92cbc6c,2025-Jun-17 00:00:00,,ENG
01564caa-913,SCH6,3ebd59f4,112,a92cbc6c,2025-Jul-08 00:00:00,2025-May-26 00:00:00,
01564caa-913,SCH6,161895fa,113,a92cbc6c,2025-Jun-07 00:00:00,2025-Jun-19 00:00:00,ENG
015e2ada-f29,SCH8,f9c9b5e8,114,48aa2911,2025-May-14 00:00:00,2025-Jun-30 00:00:00,SCT
015e2ada-f29,SCH8,a75c85bc,115,48aa2911,2025-Apr-23 00:00:00,,NIR
015e2ada-f29,SCH8,8944ff3f,116,48aa2911,2025-Jun-25 00:00:00,,ENG
015e2ada-f29,SCH8,db4608b0,117,48aa2911,2025-Jun-06 00:00:00,2025-May-16 00:00:00,SCT
015e2ada-f29,SCH8,04fd6448,118,48aa2911,2025-May-08 00:00:00,,ENG
015e2ada-f29,SCH8,89290e23,119,48aa2911,2025-Jun-20 00:00:00,,NIR
016343eb-e88,SCH7,35187bb5,120,facd73eb,2025-Jun-01 00:00:00,,NIR
016343eb-e88,SCH7,445b8613,121,facd73eb,2025-May-05 00:00:00,2025-Apr-28 00:00:00,SCT
016343eb-e88,SCH7,45788ad9,122,facd73eb,2025-May-04 00:00:00,,ENG
016343eb-e88,SCH7,beb28159,123,facd73eb,2025-Jun-24 00:00:00,2025-Apr-25 00:00:00,ENG
016343eb-e88,SCH7,e5a14579,124,facd73eb,2025-Jun-07 00:00:00,,ENG
016343eb-e88,SCH7,062aa830,125,facd73eb,2025-May-17 00:00:00,2025-May-14 00:00:00,
016343eb-e88,SCH7,4f01059a,126,facd73eb,2025-Apr-29 00:00:00,2025-May-02 00:00:00,ENG
016e97a4-301,SCH8,78cd24e2,127,d1d24ad8,2025-May-08 00:00:00,2025-Jun-22 00:00:00,
016e97a4-301,SCH8,0bef0e52,128,d1d24ad8,2025-May-07 00:00:00,,WLS
017aa6c2-fe1,SCH6,6e405410,129,c66a373c,2025-Jun-29 00:00:00,,ENG
017aa6c2-fe1,SCH6,a33e1df3,130,c66a373c,2025-May-03 00:00:00,,ENG
017aa6c2-fe1,SCH6,ecb9e5e7,131,c66a373c,2025-May-18 00:00:00,,ENG
0185afe5-85c,SCH2,5e33f6ac,132,e12e7121,2025-May-19 00:00:00,,ENG
0185afe5-85c,SCH2,e578f0e5,133,e12e7121,2025-Jul-12 00:00:00,2025-Jun-28 00:00:00,ENG
0185afe5-85c,SCH2,14ab56f9,134,e12e7121,2025-Jun-07 00:00:00,2025-Jun-10 00:00:00,SCT
0185afe5-85c,SCH2,dd1e34ab,135,e12e7121,2025-May-17 00:00:00,2025-Jun-20 00:00:00,SCT
0185afe5-85c,SCH2,b624aae0,136,e12e7121,2025-May-09 00:00:00,,ENG
0185afe5-85c,SCH2,e052b182,137,e12e7121,2025-May-29 00:00:00,,NIR
01861a4b-993,SCH1,6d2b64c4,138,3e87f575,2025-Jun-30 00:00:00,2025-Apr-28 00:00:00,SCT
01861a4b-993,SCH1,308ab845,139,3e87f575,2025-Apr-20 00:00:00,2025-Apr-22 00:00:00,SCT
01861a4b-993,SCH1,c113b61d,140,3e87f575,2025-May-10 00:00:00,,SCT
01861a4b-993,SCH1,da1cee05,141,3e87f575,2025-Apr-27 00:00:00,2025-May-14 00:00:00,
01861a4b-993,SCH1,e8b91cf1,142,3e87f575,2025-Apr-20 00:00:00,,ENG
01861a4b-993,SCH1,eae56da0,143,3e87f575,2025-Jun-10 00:00:00,2025-Jun-11 00:00:00,ENG
01861a4b-993,SCH1,6a82c6cb,144,3e87f575,2025-May-27 00:00:00,,ENG
019df92f-194,SCH7,141117a1,145,2d251031,2025-Jun-28 00:00:00,2025-Jul-08 00:00:00,SCT
019df92f-194,SCH7,a81ae133,146,2d251031,2025-May-31 00:00:00,,SCT
01ab75f8-504,SCH1,970f7c2d,147,ae9a3527,2025-May-10 00:00:00,,SCT
01ab75f8-504,SCH1,0f0aed9c,148,ae9a3527,2025-Apr-20 00:00:00,2025-Apr-27 00:00:00,WLS
01ab75f8-504,SCH1,97eabb1a,149,ae9a3527,2025-Jun-15 00:00:00,,ENG
01ab75f8-504,SCH1,eb504d5a,150,ae9a3527,2025-Jul-03 00:00:00,,
01ab75f8-504,SCH1,7380dd5b,151,ae9a3527,2025-Jun-11 00:00:00,,ENG
01ab75f8-504,SCH1,2abc2e34,152,ae9a3527,2025-Jul-04 00:00:00,,ENG
01ab75f8-504,SCH1,c2d4c92f,153,ae9a3527,2025-May-24 00:00:00,,ENG
01ab75f8-504,SCH1,7be45fbd,154,ae9a3527,2025-May-04 00:00:00,,ENG
01ab75f8-504,SCH1,c42985a7,155,ae9a3527,2025-Jul-01 00:00:00,2025-Jul-11 00:00:00,ENG
01ab75f8-504,SCH1,69390520,156,ae9a3527,2025-Jun-09 00:00:00,2025-Jun-19 00:00:00,WLS
01af0693-90a,SCH7,81577673,157,762957ae,2025-Jul-07 00:00:00,,SCT
01af0693-90a,SCH7,875240fe,158,762957ae,2025-May-30 00:00:00,,ENG
01af0693-90a,SCH7,f72d75ae,159,762957ae,2025-Jun-14 00:00:00,2025-Jun-05 00:00:00,ENG
01af0693-90a,SCH7,2b10e98b,160,762957ae,2025-Jun-21 00:00:00,2025-May-16 00:00:00,ENG
01af0693-90a,SCH7,46aeb37a,161,762957ae,2025-Apr-22 00:00:00,,ENG
01af0693-90a,SCH7,36ade108,162,762957ae,2025-Jun-23 00:00:00,2025-May-27 00:00:00,ENG
01b4b057-87a,SCH5,20cb78cc,163,3c94c6d5,2025-May-09 00:00:00,,SCT
01b4b057-87a,SCH5,8c9d1db2,164,3c94c6d5,2025-Jun-28 00:00:00,,ENG
01b4b057-87a,SCH5,9dded2cd,165,3c94c6d5,2025-Jun-12 00:00:00,2025-Jul-07 00:00:00,ENG
01b4b057-87a,SCH5,18afd80b,166,3c94c6d5,2025-May-14 00:00:00,,ENG
01b4b057-87a,SCH5,b3d0945d,167,3c94c6d5,2025-Apr-26 00:00:00,,SCT
01b4b057-87a,SCH5,3c78c6b9,168,3c94c6d5,2025-Jun-09 00:00:00,,ENG
01b4b057-87a,SCH5,d88f0a4d,169,3c94c6d5,2025-Jun-12 00:00:00,,SCT
01b4b057-87a,SCH5,90694f3b,170,3c94c6d5,2025-Jun-15 00:00:00,2025-May-27 00:00:00,ENG
01b4b057-87a,SCH5,b74db593,171,3c94c6d5,2025-Jun-27 00:00:00,2025-Jun-08 00:00:00,
01b4b057-87a,SCH5,40b72471,172,3c94c6d5,2025-Jun-05 00:00:00,2025-May-03 00:00:00,ENG
01dfc5f8-834,SCH6,4822c050,173,ea057aed,2025-May-10 00:00:00,2025-Jun-20 00:00:00,
021425e0-64f,SCH5,28fa10c9,174,07bbed58,2025-May-13 00:00:00,2025-May-31 00:00:00,ENG
021425e0-64f,SCH5,5e95a94d,175,07bbed58,2025-Jun-24 00:00:00,2025-Jul-02 00:00:00,SCT
021425e0-64f,SCH5,57e17033,176,07bbed58,2025-Jul-02 00:00:00,,ENG
021425e0-64f,SCH5,0cfff354,177,07bbed58,2025-Jun-30 00:00:00,2025-Jun-18 00:00:00,
021425e0-64f,SCH5,7945931f,178,07bbed58,2025-Jul-08 00:00:00,,SCT
021425e0-64f,SCH5,71064590,179,07bbed58,2025-May-04 00:00:00,2025-Jun-09 00:00:00,ENG
021425e0-64f,SCH5,627f3b06,180,07bbed58,2025-Apr-23 00:00:00,2025-Apr-24 00:00:00,ENG
021425e0-64f,SCH5,dbf2280b,181,07bbed58,2025-May-12 00:00:00,2025-Jun-29 00:00:00,SCT
021425e0-64f,SCH5,4b1e6213,182,07bbed58,2025-Jun-18 00:00:00,2025-Apr-22 00:00:00,ENG
021425e0-64f,SCH5,458c4686,183,07bbed58,2025-Apr-28 00:00:00,2025-Jul-04 00:00:00,NIR
022173c1-4fe,SCH2,6e81dabf,184,802b3559,2025-May-21 00:00:00,,ENG
022173c1-4fe,SCH2,40f101a8,185,802b3559,2025-Jun-16 00:00:00,2025-Jul-04 00:00:00,SCT
022173c1-4fe,SCH2,559e0ed3,186,802b3559,2025-May-04 00:00:00,2025-Jun-16 00:00:00,ENG
0228116d-6b3,SCH6,08305ec1,187,13e33880,2025-Apr-24 00:00:00,2025-Jul-14 00:00:00,ENG
0228116d-6b3,SCH6,7491f9e1,188,13e33880,2025-May-04 00:00:00,,ENG
0228116d-6b3,SCH6,845b9d3f,189,13e33880,2025-May-26 00:00:00,2025-Apr-20 00:00:00,ENG
0228116d-6b3,SCH6,6e59e1ea,190,13e33880,2025-Jul-01 00:00:00,2025-Jul-10 00:00:00,
0228116d-6b3,SCH6,6afa8b82,191,13e33880,2025-Jul-14 00:00:00,,
02332c43-1fe,SCH2,2890c388,192,bf1d0970,2025-Jun-11 00:00:00,2025-Jun-17 00:00:00,ENG
02332c43-1fe,SCH2,34b755e2,193,bf1d0970,2025-Apr-30 00:00:00,,ENG
02332c43-1fe,SCH2,9c4dca30,194,bf1d0970,2025-May-31 00:00:00,,ENG
02332c43-1fe,SCH2,9e3b6658,195,bf1d0970,2025-Jul-05 00:00:00,2025-Jun-11 00:00:00,ENG
02332c43-1fe,SCH2,ce5a517b,196,bf1d0970,2025-Apr-22 00:00:00,,ENG
02332c43-1fe,SCH2,e7c9884e,197,bf1d0970,2025-Jun-13 00:00:00,,SCT
02332c43-1fe,SCH2,7a5a3770,198,bf1d0970,2025-Jun-26 00:00:00,,NIR
02332c43-1fe,SCH2,ac411146,199,bf1d0970,2025-May-09 00:00:00,,ENG
023864e0-886,SCH5,7c02f1ad,200,a1beb3a0,2025-Jul-03 00:00:00,2025-Jun-13 00:00:00,ENG
023864e0-886,SCH5,1aec1e7a,201,a1beb3a0,2025-Jul-08 00:00:00,,ENG
023864e0-886,SCH5,bfe580d9,202,a1beb3a0,2025-May-16 00:00:00,2025-Jun-16 00:00:00,ENG
023864e0-886,SCH5,ca28e9b1,203,a1beb3a0,2025-Jun-19 00:00:00,,SCT
023864e0-886,SCH5,aaf8e8c4,204,a1beb3a0,2025-May-16 00:00:00,,SCT
023864e0-886,SCH5,806d38a4,205,a1beb3a0,2025-Jun-23 00:00:00,,ENG
023864e0-886,SCH5,2b514733,206,a1beb3a0,2025-May-28 00:00:00,,ENG
023864e0-886,SCH5,dcfa30e4,207,a1beb3a0,2025-May-21 00:00:00,,SCT
023864e0-886,SCH5,08ba1c9f,208,a1beb3a0,2025-Jun-25 00:00:00,2025-May-03 00:00:00,ENG
023864e0-886,SCH5,59e267ff,209,a1beb3a0,2025-Jul-13 00:00:00,,
024a1d5e-4cb,SCH7,2cb2fbe4,210,09acd2e3,2025-May-28 00:00:00,,ENG
024a1d5e-4cb,SCH7,7f09dfcc,211,09acd2e3,2025-Jul-14 00:00:00,,ENG
024a1d5e-4cb,SCH7,8a3f5e43,212,09acd2e3,2025-May-29 00:00:00,2025-Jun-16 00:00:00,ENG
024a1d5e-4cb,SCH7,878c32a9,213,09acd2e3,2025-Jun-25 00:00:00,2025-Jun-20 00:00:00,ENG
024a1d5e-4cb,SCH7,006d9cdf,214,09acd2e3,2025-Jun-21 00:00:00,2025-May-01 00:00:00,ENG
024a1d5e-4cb,SCH7,e3b153e8,215,09acd2e3,2025-Jul-11 00:00:00,2025-Jul-08 00:00:00,SCT
024a1d5e-4cb,SCH7,206642f2,216,09acd2e3,2025-May-08 00:00:00,,ENG
026164da-0dc,SCH2,c62e5f43,217,a457ba24,2025-Jun-14 00:00:00,2025-Jul-09 00:00:00,ENG
026164da-0dc,SCH2,68fda7d8,218,a457ba24,2025-Apr-27 00:00:00,,ENG
026164da-0dc,SCH2,37e23d51,219,a457ba24,2025-Jun-02 00:00:00,,ENG
026164da-0dc,SCH2,e8518912,220,a457ba24,2025-Jun-03 00:00:00,2025-Jun-20 00:00:00,ENG
026164da-0dc,SCH2,70590a73,221,a457ba24,2025-Jul-07 00:00:00,2025-Apr-27 00:00:00,ENG
026164da-0dc,SCH2,02f25c2c,222,a457ba24,2025-Jun-27 00:00:00,2025-May-20 00:00:00,ENG
0263fbd7-cea,SCH2,7965be3d,223,53eb52d5,2025-Jun-07 00:00:00,,ENG
0263fbd7-cea,SCH2,c9d48d7a,224,53eb52d5,2025-Jun-08 00:00:00,,ENG
0263fbd7-cea,SCH2,ddab705d,225,53eb52d5,2025-May-04 00:00:00,,ENG
0263fbd7-cea,SCH2,83529609,226,53eb52d5,2025-Jul-12 00:00:00,2025-Jul-11 00:00:00,
0263fbd7-cea,SCH2,e7972f2e,227,53eb52d5,2025-Jul-14 00:00:00,,SCT
0263fbd7-cea,SCH2,d50d589b,228,53eb52d5,2025-May-24 00:00:00,,ENG
0263fbd7-cea,SCH2,7b54ef1c,229,53eb52d5,2025-May-28 00:00:00,2025-May-18 00:00:00,ENG
0263fbd7-cea,SCH2,67876530,230,53eb52d5,2025-Apr-27 00:00:00,,ENG
0263fbd7-cea,SCH2,57b6a819,231,53eb52d5,2025-May-22 00:00:00,,ENG
0263fbd7-cea,SCH2,7ffa82a9,232,53eb52d5,2025-May-17 00:00:00,2025-Jul-07 00:00:00,ENG
026454d0-0e3,SCH7,e924f9a9,233,d7847c62,2025-May-19 00:00:00,2025-Jul-10 00:00:00,SCT
026454d0-0e3,SCH7,c99ce11b,234,d7847c62,2025-Jul-05 00:00:00,2025-Jun-13 00:00:00,WLS
026454d0-0e3,SCH7,155d9b74,235,d7847c62,2025-Jun-13 00:00:00,2025-Apr-27 00:00:00,ENG
026454d0-0e3,SCH7,261726f4,236,d7847c62,2025-May-11 00:00:00,,ENG
026454d0-0e3,SCH7,117257ab,237,d7847c62,2025-May-17 00:00:00,2025-Jul-14 00:00:00,ENG
026454d0-0e3,SCH7,59982d9c,238,d7847c62,2025-Jul-09 00:00:00,2025-May-09 00:00:00,ENG
026454d0-0e3,SCH7,d6985cea,239,d7847c62,2025-Jun-12 00:00:00,2025-May-12 00:00:00,ENG
026454d0-0e3,SCH7,9a3b231e,240,d7847c62,2025-Jul-13 00:00:00,,ENG
0268dacb-f00,SCH1,8c2a6277,241,dc7a173e,2025-Jul-10 00:00:00,2025-Jun-30 00:00:00,ENG
0268dacb-f00,SCH1,ba160c73,242,dc7a173e,2025-May-24 00:00:00,,ENG
0268dacb-f00,SCH1,e282ba80,243,dc7a173e,2025-Jul-14 00:00:00,2025-Apr-24 00:00:00,ENG
02693da2-0eb,SCH3,0a6827bb,244,19e494a3,2025-Jun-11 00:00:00,2025-May-21 00:00:00,ENG
02693da2-0eb,SCH3,372f5922,245,19e494a3,2025-Jun-05 00:00:00,2025-Jun-08 00:00:00,
02693da2-0eb,SCH3,27d951cb,246,19e494a3,2025-May-28 00:00:00,,WLS
02693da2-0eb,SCH3,f6e7bd78,247,19e494a3,2025-Jul-09 00:00:00,2025-Jun-14 00:00:00,ENG
02693da2-0eb,SCH3,d555508c,248,19e494a3,2025-Jun-13 00:00:00,2025-Jun-26 00:00:00,
02693da2-0eb,SCH3,306e09f1,249,19e494a3,2025-Jun-25 00:00:00,2025-Jul-02 00:00:00,ENG
026cc4d1-17a,SCH1,04af05ee,250,2fed818f,2025-May-17 00:00:00,,WLS
026cc4d1-17a,SCH1,d38653a1,251,2fed818f,2025-Jun-16 00:00:00,2025-May-30 00:00:00,WLS
026cc4d1-17a,SCH1,f1a2f2d9,252,2fed818f,2025-Jun-18 00:00:00,2025-Jul-04 00:00:00,ENG
026cc4d1-17a,SCH1,93c86bdf,253,2fed818f,2025-Jun-05 00:00:00,,SCT
