pupilonrolltableid,NativeId,fsmperiodsonrolltableid,fsmperiodsonrollorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
00f6b660-59e,SCH2,dcec6a5d,42,66c86255,2024-Sep-13 00:00:00,,ENG
010aa4cb-931,SCH2,4f7c8564,43,e1b37b5e,2024-Sep-10 00:00:00,,ENG
010aa4cb-931,SCH2,58aedf50,44,e1b37b5e,2024-Oct-08 00:00:00,2024-Sep-23 00:00:00,ENG
010aa4cb-931,SCH2,343d79ee,45,e1b37b5e,2024-Dec-14 00:00:00,,SCT
010aa4cb-931,SCH2,f58a5ef6,46,e1b37b5e,2024-Oct-16 00:00:00,,ENG
012d9587-01b,SCH2,a66ef0b2,47,d619a422,2024-Oct-14 00:00:00,,NIR
01359d1e-dc2,SCH1,79694a2b,48,34747343,2024-Dec-05 00:00:00,,ENG
01359d1e-dc2,SCH1,4131b594,49,34747343,2024-Nov-17 00:00:00,2024-Sep-29 00:00:00,
01359d1e-dc2,SCH1,29e166eb,50,34747343,2024-Oct-15 00:00:00,2024-Nov-21 00:00:00,ENG
01359d1e-dc2,SCH1,432cd2f2,51,34747343,2024-Nov-04 00:00:00,2024-Oct-11 00:00:00,ENG
01359d1e-dc2,SCH1,54edd670,52,34747343,2024-Nov-23 00:00:00,2024-Sep-24 00:00:00,ENG
01359d1e-dc2,SCH1,dcf8416c,53,34747343,2024-Sep-11 00:00:00,,SCT
01359d1e-dc2,SCH1,3904c6f7,54,34747343,2024-Oct-12 00:00:00,,ENG
01359d1e-dc2,SCH1,08924730,55,34747343,2024-Oct-03 00:00:00,2024-Nov-09 00:00:00,ENG
01359d1e-dc2,SCH1,a765d771,56,34747343,2024-Oct-18 00:00:00,2024-Nov-20 00:00:00,ENG
013e6c4a-b75,SCH6,0811bce1,57,b7922a9b,2024-Sep-16 00:00:00,2024-Dec-08 00:00:00,ENG
013e6c4a-b75,SCH6,a603519f,58,b7922a9b,2024-Dec-18 00:00:00,,
013e6c4a-b75,SCH6,e0d8ea9d,59,b7922a9b,2024-Dec-03 00:00:00,,ENG
013e6c4a-b75,SCH6,1e236c81,60,b7922a9b,2024-Nov-12 00:00:00,2024-Nov-20 00:00:00,ENG
013e6c4a-b75,SCH6,8916bf0a,61,b7922a9b,2024-Sep-12 00:00:00,,SCT
013e6c4a-b75,SCH6,e5d2600e,62,b7922a9b,2024-Oct-14 00:00:00,,SCT
013e6c4a-b75,SCH6,1772cfe2,63,b7922a9b,2024-Oct-12 00:00:00,,ENG
013e6c4a-b75,SCH6,566d0a22,64,b7922a9b,2024-Sep-18 00:00:00,,ENG
013e6c4a-b75,SCH6,376bc016,65,b7922a9b,2024-Dec-03 00:00:00,,NIR
015e1d34-e1e,SCH6,d69b3e4b,66,7b5a40a9,2024-Sep-26 00:00:00,2024-Sep-09 00:00:00,ENG
015e1d34-e1e,SCH6,32ae70ba,67,7b5a40a9,2024-Dec-09 00:00:00,2024-Oct-09 00:00:00,ENG
015e1d34-e1e,SCH6,ddf89d89,68,7b5a40a9,2024-Sep-02 00:00:00,2024-Nov-16 00:00:00,ENG
015e1d34-e1e,SCH6,6df3b0a4,69,7b5a40a9,2024-Sep-27 00:00:00,,WLS
015e1d34-e1e,SCH6,79502871,70,7b5a40a9,2024-Nov-21 00:00:00,,NIR
015e1d34-e1e,SCH6,76e69379,71,7b5a40a9,2024-Sep-14 00:00:00,,ENG
015e1d34-e1e,SCH6,e600cefc,72,7b5a40a9,2024-Oct-29 00:00:00,2024-Sep-08 00:00:00,SCT
015e1d34-e1e,SCH6,8c85e47f,73,7b5a40a9,2024-Dec-18 00:00:00,,ENG
015e1d34-e1e,SCH6,9f4abf92,74,7b5a40a9,2024-Oct-06 00:00:00,2024-Oct-19 00:00:00,ENG
016343eb-e88,SCH7,ec4e1200,75,d89e4ca1,2024-Oct-25 00:00:00,2024-Nov-13 00:00:00,ENG
016343eb-e88,SCH7,bfdad756,76,d89e4ca1,2024-Oct-26 00:00:00,,SCT
016343eb-e88,SCH7,524f97e8,77,d89e4ca1,2024-Nov-02 00:00:00,2024-Sep-27 00:00:00,WLS
016343eb-e88,SCH7,5ab3bd71,78,d89e4ca1,2024-Nov-23 00:00:00,2024-Dec-01 00:00:00,ENG
016343eb-e88,SCH7,329a4c3b,79,d89e4ca1,2024-Sep-19 00:00:00,2024-Sep-05 00:00:00,ENG
016e97a4-301,SCH8,4c26eb54,80,f84af39a,2024-Nov-11 00:00:00,,ENG
016e97a4-301,SCH8,2f454334,81,f84af39a,2024-Nov-25 00:00:00,,SCT
016e97a4-301,SCH8,2c5e37d9,82,f84af39a,2024-Sep-20 00:00:00,2024-Nov-11 00:00:00,
016e97a4-301,SCH8,54c13a2d,83,f84af39a,2024-Oct-15 00:00:00,2024-Nov-13 00:00:00,ENG
016e97a4-301,SCH8,dd7f617c,84,f84af39a,2024-Sep-20 00:00:00,,SCT
016e97a4-301,SCH8,a6a07289,85,f84af39a,2024-Sep-03 00:00:00,,ENG
016e97a4-301,SCH8,82e626e7,86,f84af39a,2024-Dec-08 00:00:00,,SCT
016e97a4-301,SCH8,c8da0aad,87,f84af39a,2024-Nov-14 00:00:00,2024-Nov-15 00:00:00,ENG
016e97a4-301,SCH8,b281ef85,88,f84af39a,2024-Dec-16 00:00:00,2024-Oct-13 00:00:00,ENG
017aa6c2-fe1,SCH6,0f2331fe,89,aab7882d,2024-Nov-18 00:00:00,2024-Sep-03 00:00:00,ENG
017aa6c2-fe1,SCH6,a55cb228,90,aab7882d,2024-Oct-28 00:00:00,,SCT
017aa6c2-fe1,SCH6,8136a638,91,aab7882d,2024-Oct-15 00:00:00,2024-Oct-07 00:00:00,SCT
017aa6c2-fe1,SCH6,91ff66c9,92,aab7882d,2024-Nov-11 00:00:00,2024-Dec-15 00:00:00,ENG
017aa6c2-fe1,SCH6,354ab01f,93,aab7882d,2024-Nov-10 00:00:00,2024-Dec-17 00:00:00,ENG
017aa6c2-fe1,SCH6,90ecce55,94,aab7882d,2024-Dec-17 00:00:00,,ENG
0183bc4b-6ce,SCH2,e8ef597a,95,f743039c,2024-Sep-14 00:00:00,2024-Dec-01 00:00:00,SCT
0183bc4b-6ce,SCH2,ae5f0bd8,96,f743039c,2024-Nov-30 00:00:00,,
0183bc4b-6ce,SCH2,341310ef,97,f743039c,2024-Nov-23 00:00:00,,ENG
0183bc4b-6ce,SCH2,f67b433a,98,f743039c,2024-Sep-07 00:00:00,,WLS
0183bc4b-6ce,SCH2,eb5b9d7f,99,f743039c,2024-Dec-09 00:00:00,,ENG
0183bc4b-6ce,SCH2,3e47210c,100,f743039c,2024-Sep-03 00:00:00,,SCT
0183bc4b-6ce,SCH2,00202a1a,101,f743039c,2024-Sep-02 00:00:00,2024-Nov-14 00:00:00,ENG
0183bc4b-6ce,SCH2,7c3de9a9,102,f743039c,2024-Sep-15 00:00:00,,ENG
0185afe5-85c,SCH2,2ada0c26,103,86e3abe9,2024-Sep-12 00:00:00,2024-Nov-02 00:00:00,SCT
0185afe5-85c,SCH2,d44ab6cc,104,86e3abe9,2024-Dec-17 00:00:00,2024-Sep-02 00:00:00,
0185afe5-85c,SCH2,178b8caf,105,86e3abe9,2024-Nov-10 00:00:00,2024-Oct-01 00:00:00,
0185afe5-85c,SCH2,720907fc,106,86e3abe9,2024-Sep-10 00:00:00,2024-Nov-10 00:00:00,SCT
0185afe5-85c,SCH2,92033837,107,86e3abe9,2024-Oct-12 00:00:00,2024-Sep-27 00:00:00,NIR
0185afe5-85c,SCH2,7973ee3a,108,86e3abe9,2024-Dec-15 00:00:00,,ENG
0185afe5-85c,SCH2,688e1ad9,109,86e3abe9,2024-Oct-06 00:00:00,,ENG
0185afe5-85c,SCH2,8b040bbb,110,86e3abe9,2024-Sep-13 00:00:00,,ENG
0188f245-602,SCH8,00622097,111,57afd8f3,2024-Nov-11 00:00:00,2024-Dec-08 00:00:00,SCT
0188f245-602,SCH8,48506d05,112,57afd8f3,2024-Oct-15 00:00:00,2024-Oct-25 00:00:00,ENG
0188f245-602,SCH8,d6a5a676,113,57afd8f3,2024-Nov-15 00:00:00,2024-Nov-10 00:00:00,ENG
019cfc62-962,SCH6,96d449ad,114,f14390bc,2024-Sep-20 00:00:00,,ENG
019cfc62-962,SCH6,4cd6093a,115,f14390bc,2024-Oct-20 00:00:00,2024-Dec-07 00:00:00,ENG
019cfc62-962,SCH6,7101dfec,116,f14390bc,2024-Sep-27 00:00:00,2024-Oct-03 00:00:00,WLS
019cfc62-962,SCH6,a101207a,117,f14390bc,2024-Oct-08 00:00:00,2024-Dec-02 00:00:00,SCT
019cfc62-962,SCH6,c875a87b,118,f14390bc,2024-Sep-17 00:00:00,2024-Sep-06 00:00:00,ENG
019cfc62-962,SCH6,137a1449,119,f14390bc,2024-Dec-07 00:00:00,2024-Sep-23 00:00:00,ENG
019cfc62-962,SCH6,2ce29eb8,120,f14390bc,2024-Oct-07 00:00:00,,ENG
019cfc62-962,SCH6,a4e6f0c6,121,f14390bc,2024-Sep-19 00:00:00,2024-Sep-04 00:00:00,
019cfc62-962,SCH6,ee08b2fc,122,f14390bc,2024-Dec-04 00:00:00,,ENG
019cfc62-962,SCH6,23dd1610,123,f14390bc,2024-Sep-22 00:00:00,,SCT
019df92f-194,SCH7,81cdaec6,124,d613d234,2024-Oct-03 00:00:00,,ENG
019df92f-194,SCH7,3353edd0,125,d613d234,2024-Sep-26 00:00:00,,ENG
019df92f-194,SCH7,c9784678,126,d613d234,2024-Nov-29 00:00:00,,
019df92f-194,SCH7,f982521b,127,d613d234,2024-Nov-14 00:00:00,,SCT
019df92f-194,SCH7,d19fa9b0,128,d613d234,2024-Dec-19 00:00:00,2024-Dec-07 00:00:00,ENG
019df92f-194,SCH7,5347f73a,129,d613d234,2024-Sep-03 00:00:00,2024-Sep-15 00:00:00,SCT
019df92f-194,SCH7,e2f8d93f,130,d613d234,2024-Nov-29 00:00:00,2024-Oct-12 00:00:00,WLS
019df92f-194,SCH7,b5a8fa43,131,d613d234,2024-Oct-10 00:00:00,2024-Dec-12 00:00:00,SCT
01af0693-90a,SCH7,287869ef,132,2dc17e6b,2024-Oct-18 00:00:00,,ENG
01af0693-90a,SCH7,afe47e50,133,2dc17e6b,2024-Oct-30 00:00:00,,SCT
01af0693-90a,SCH7,9f8cfb2b,134,2dc17e6b,2024-Nov-01 00:00:00,,ENG
01af0693-90a,SCH7,916e44ec,135,2dc17e6b,2024-Nov-26 00:00:00,2024-Nov-11 00:00:00,ENG
01af0693-90a,SCH7,c21bee88,136,2dc17e6b,2024-Dec-14 00:00:00,,
01af0693-90a,SCH7,5400d35f,137,2dc17e6b,2024-Dec-09 00:00:00,2024-Sep-29 00:00:00,ENG
01af0693-90a,SCH7,769f317d,138,2dc17e6b,2024-Sep-02 00:00:00,,ENG
01af0693-90a,SCH7,96334926,139,2dc17e6b,2024-Sep-09 00:00:00,2024-Oct-03 00:00:00,ENG
01cc47ac-658,SCH1,6692c327,140,875ac061,2024-Oct-11 00:00:00,2024-Nov-18 00:00:00,ENG
01da4f0d-44e,SCH3,47e2c3d4,141,ef921f8c,2024-Sep-15 00:00:00,2024-Oct-13 00:00:00,ENG
01da4f0d-44e,SCH3,587be2e8,142,ef921f8c,2024-Sep-24 00:00:00,2024-Oct-24 00:00:00,NIR
01da4f0d-44e,SCH3,02fe7bc3,143,ef921f8c,2024-Nov-26 00:00:00,,SCT
01da4f0d-44e,SCH3,15ad08c1,144,ef921f8c,2024-Sep-07 00:00:00,,ENG
01da4f0d-44e,SCH3,e4171c33,145,ef921f8c,2024-Sep-14 00:00:00,,ENG
01da4f0d-44e,SCH3,9401e32b,146,ef921f8c,2024-Oct-02 00:00:00,2024-Dec-19 00:00:00,ENG
01da4f0d-44e,SCH3,b998f58f,147,ef921f8c,2024-Oct-12 00:00:00,2024-Dec-09 00:00:00,ENG
01da4f0d-44e,SCH3,d4d339c3,148,ef921f8c,2024-Nov-03 00:00:00,2024-Sep-08 00:00:00,ENG
01da4f0d-44e,SCH3,d12c714f,149,ef921f8c,2024-Oct-21 00:00:00,2024-Oct-11 00:00:00,ENG
01da4f0d-44e,SCH3,37eeae61,150,ef921f8c,2024-Oct-07 00:00:00,,
01dfc5f8-834,SCH4,c986b100,151,a39ef2c2,2024-Oct-06 00:00:00,2024-Oct-19 00:00:00,ENG
01dfc5f8-834,SCH4,57667481,152,a39ef2c2,2024-Dec-19 00:00:00,2024-Dec-17 00:00:00,SCT
01dfc5f8-834,SCH4,649e1d70,153,a39ef2c2,2024-Nov-13 00:00:00,2024-Oct-15 00:00:00,ENG
01dfc5f8-834,SCH4,61bbb73d,154,a39ef2c2,2024-Dec-13 00:00:00,,ENG
01dfc5f8-834,SCH4,74f569c9,155,a39ef2c2,2024-Sep-21 00:00:00,,ENG
01dfc5f8-834,SCH4,940358d3,156,a39ef2c2,2024-Nov-05 00:00:00,,
01dfc5f8-834,SCH4,81d94152,157,a39ef2c2,2024-Oct-10 00:00:00,,ENG
01dfc5f8-834,SCH4,04203ea7,158,a39ef2c2,2024-Sep-25 00:00:00,2024-Oct-03 00:00:00,ENG
01dfc5f8-834,SCH4,4cc3444e,159,a39ef2c2,2024-Oct-25 00:00:00,2024-Sep-18 00:00:00,NIR
01dfc5f8-834,SCH4,7dca36b5,160,a39ef2c2,2024-Nov-25 00:00:00,2024-Oct-20 00:00:00,ENG
01ebda30-5a0,SCH2,00538ff1,161,12813446,2024-Sep-23 00:00:00,2024-Sep-18 00:00:00,SCT
01ebda30-5a0,SCH2,5e965c99,162,12813446,2024-Nov-21 00:00:00,2024-Dec-03 00:00:00,ENG
01ebda30-5a0,SCH2,203dbcb3,163,12813446,2024-Sep-25 00:00:00,2024-Dec-12 00:00:00,
01ebda30-5a0,SCH2,d18231ba,164,12813446,2024-Sep-15 00:00:00,,ENG
01ebda30-5a0,SCH2,0df7b887,165,12813446,2024-Dec-13 00:00:00,2024-Nov-19 00:00:00,ENG
01ebda30-5a0,SCH2,780d080c,166,12813446,2024-Dec-07 00:00:00,2024-Oct-23 00:00:00,ENG
01ebda30-5a0,SCH2,265348c0,167,12813446,2024-Nov-29 00:00:00,2024-Oct-29 00:00:00,ENG
01ebda30-5a0,SCH2,ec1dc8c0,168,12813446,2024-Sep-23 00:00:00,2024-Sep-09 00:00:00,ENG
01ebda30-5a0,SCH2,ce370974,169,12813446,2024-Oct-10 00:00:00,2024-Sep-17 00:00:00,ENG
01ebda30-5a0,SCH2,87d0a9ea,170,12813446,2024-Nov-06 00:00:00,,ENG
01ed06bc-72e,SCH3,28fd9eb7,171,b6eb5a64,2024-Oct-08 00:00:00,,
01ed06bc-72e,SCH3,bd12308b,172,b6eb5a64,2024-Nov-04 00:00:00,,ENG
0200b7ed-ca9,SCH1,5b20b284,173,32aa9708,2024-Nov-08 00:00:00,2024-Oct-16 00:00:00,SCT
0200b7ed-ca9,SCH1,5aa26d93,174,32aa9708,2024-Dec-09 00:00:00,2024-Oct-21 00:00:00,ENG
0209d767-3ec,SCH2,52db6830,175,f396e378,2024-Nov-04 00:00:00,,NIR
0209d767-3ec,SCH2,86d063ee,176,f396e378,2024-Oct-08 00:00:00,,ENG
0209d767-3ec,SCH2,13d611e4,177,f396e378,2024-Dec-12 00:00:00,,ENG
0209d767-3ec,SCH2,89941b5a,178,f396e378,2024-Nov-29 00:00:00,2024-Oct-06 00:00:00,SCT
0209d767-3ec,SCH2,d802acba,179,f396e378,2024-Nov-10 00:00:00,,ENG
0209d767-3ec,SCH2,6cfcd4ed,180,f396e378,2024-Sep-05 00:00:00,2024-Oct-19 00:00:00,
0209d767-3ec,SCH2,04326f79,181,f396e378,2024-Oct-19 00:00:00,,WLS
0209d767-3ec,SCH2,adf52f1a,182,f396e378,2024-Oct-22 00:00:00,2024-Nov-29 00:00:00,ENG
020de71c-5f0,SCH2,8089457d,183,357a545f,2024-Nov-20 00:00:00,,ENG
020de71c-5f0,SCH2,ecdecbf0,184,357a545f,2024-Sep-16 00:00:00,2024-Sep-27 00:00:00,ENG
020de71c-5f0,SCH2,ae01188e,185,357a545f,2024-Sep-24 00:00:00,,SCT
020de71c-5f0,SCH2,cd8bb253,186,357a545f,2024-Nov-22 00:00:00,2024-Sep-28 00:00:00,
020de71c-5f0,SCH2,3c8de01d,187,357a545f,2024-Dec-07 00:00:00,2024-Oct-30 00:00:00,ENG
021425e0-64f,SCH5,1075a2ef,188,3536251e,2024-Oct-25 00:00:00,2024-Dec-05 00:00:00,ENG
021425e0-64f,SCH5,7fb2e00c,189,3536251e,2024-Dec-18 00:00:00,,ENG
02149e28-3dc,SCH5,b20bf9d6,190,5d95d07b,2024-Oct-31 00:00:00,2024-Sep-07 00:00:00,ENG
02211e5a-3f0,SCH2,fcac6197,191,87a737c5,2024-Oct-31 00:00:00,2024-Oct-06 00:00:00,ENG
02211e5a-3f0,SCH2,790cc0d7,192,87a737c5,2024-Nov-05 00:00:00,2024-Sep-21 00:00:00,ENG
02211e5a-3f0,SCH2,74b15975,193,87a737c5,2024-Nov-22 00:00:00,2024-Oct-10 00:00:00,ENG
02211e5a-3f0,SCH2,dc8dd64d,194,87a737c5,2024-Dec-14 00:00:00,2024-Dec-08 00:00:00,ENG
02211e5a-3f0,SCH2,abad6ac4,195,87a737c5,2024-Dec-10 00:00:00,,ENG
02211e5a-3f0,SCH2,dfb54849,196,87a737c5,2024-Dec-18 00:00:00,2024-Dec-04 00:00:00,ENG
02211e5a-3f0,SCH2,682b81ad,197,87a737c5,2024-Sep-23 00:00:00,,ENG
022306da-25f,SCH3,2caca8e1,198,0b332e62,2024-Dec-07 00:00:00,,ENG
022306da-25f,SCH3,83f6f199,199,0b332e62,2024-Sep-19 00:00:00,2024-Sep-30 00:00:00,ENG
022306da-25f,SCH3,ca991399,200,0b332e62,2024-Dec-14 00:00:00,2024-Oct-20 00:00:00,ENG
022306da-25f,SCH3,b6054da6,201,0b332e62,2024-Oct-11 00:00:00,,ENG
022306da-25f,SCH3,da75ca1c,202,0b332e62,2024-Nov-17 00:00:00,,ENG
022306da-25f,SCH3,5dd08043,203,0b332e62,2024-Nov-13 00:00:00,,ENG
023864e0-886,SCH5,4c15b094,204,282320f0,2024-Sep-03 00:00:00,2024-Nov-17 00:00:00,WLS
023864e0-886,SCH5,ce17934b,205,282320f0,2024-Nov-30 00:00:00,2024-Dec-11 00:00:00,
023864e0-886,SCH5,d6635b6c,206,282320f0,2024-Nov-13 00:00:00,2024-Oct-25 00:00:00,
023864e0-886,SCH5,318459ae,207,282320f0,2024-Sep-29 00:00:00,2024-Dec-02 00:00:00,ENG
023864e0-886,SCH5,599ec5d4,208,282320f0,2024-Oct-18 00:00:00,,ENG
023864e0-886,SCH5,3c061bca,209,282320f0,2024-Nov-26 00:00:00,,ENG
023864e0-886,SCH5,867060ba,210,282320f0,2024-Dec-15 00:00:00,,SCT
023d6276-432,SCH6,8ea37300,211,1894832b,2024-Sep-13 00:00:00,,ENG
023d6276-432,SCH6,379eed2a,212,1894832b,2024-Oct-19 00:00:00,,ENG
023d6276-432,SCH6,d2cb6831,213,1894832b,2024-Dec-17 00:00:00,2024-Sep-08 00:00:00,ENG
023d6276-432,SCH6,8208e0ac,214,1894832b,2024-Oct-10 00:00:00,2024-Sep-18 00:00:00,ENG
023d6276-432,SCH6,45e55a2d,215,1894832b,2024-Oct-07 00:00:00,,ENG
023d6276-432,SCH6,ab50fac7,216,1894832b,2024-Nov-04 00:00:00,,SCT
023d6276-432,SCH6,74fd03f3,217,1894832b,2024-Dec-04 00:00:00,2024-Nov-20 00:00:00,ENG
023d6276-432,SCH6,8ea383ee,218,1894832b,2024-Sep-03 00:00:00,,ENG
023d6276-432,SCH6,1f9b0a9d,219,1894832b,2024-Oct-24 00:00:00,2024-Oct-06 00:00:00,ENG
023d6276-432,SCH6,cee1408e,220,1894832b,2024-Sep-20 00:00:00,,ENG
024a1d5e-4cb,SCH7,fbc1fc81,221,c75df943,2024-Sep-25 00:00:00,,ENG
024a1d5e-4cb,SCH7,9262389a,222,c75df943,2024-Oct-12 00:00:00,2024-Sep-17 00:00:00,ENG
024a1d5e-4cb,SCH7,c6976b73,223,c75df943,2024-Sep-17 00:00:00,,ENG
024a1d5e-4cb,SCH7,aaba7fb5,224,c75df943,2024-Oct-03 00:00:00,,SCT
024a1d5e-4cb,SCH7,1da391aa,225,c75df943,2024-Nov-07 00:00:00,,WLS
024a1d5e-4cb,SCH7,65df6d8b,226,c75df943,2024-Nov-14 00:00:00,2024-Oct-11 00:00:00,SCT
024a1d5e-4cb,SCH7,7b36c176,227,c75df943,2024-Sep-25 00:00:00,2024-Oct-27 00:00:00,ENG
02601e4d-eb9,SCH4,5c6eda8b,228,0581fc9b,2024-Nov-29 00:00:00,,ENG
02601e4d-eb9,SCH4,cbbc6a81,229,0581fc9b,2024-Oct-29 00:00:00,2024-Nov-04 00:00:00,
02601e4d-eb9,SCH4,3f2344f5,230,0581fc9b,2024-Dec-11 00:00:00,2024-Nov-23 00:00:00,WLS
02601e4d-eb9,SCH4,904c955e,231,0581fc9b,2024-Nov-19 00:00:00,,ENG
02601e4d-eb9,SCH4,d9f9180c,232,0581fc9b,2024-Oct-04 00:00:00,,ENG
02601e4d-eb9,SCH4,ee58eece,233,0581fc9b,2024-Oct-20 00:00:00,,ENG
02601e4d-eb9,SCH4,adac6a7c,234,0581fc9b,2024-Sep-08 00:00:00,,
02601e4d-eb9,SCH4,d4d65e56,235,0581fc9b,2024-Dec-16 00:00:00,2024-Nov-10 00:00:00,
02601e4d-eb9,SCH4,33c43b28,236,0581fc9b,2024-Sep-09 00:00:00,,SCT
026164da-0dc,SCH4,29d7ed63,237,a6999c79,2024-Nov-24 00:00:00,2024-Dec-03 00:00:00,ENG
026164da-0dc,SCH4,89f9f98b,238,a6999c79,2024-Nov-16 00:00:00,2024-Nov-06 00:00:00,SCT
026164da-0dc,SCH4,4e3b0e34,239,a6999c79,2024-Sep-24 00:00:00,,ENG
026164da-0dc,SCH4,b04ba01f,240,a6999c79,2024-Oct-22 00:00:00,2024-Oct-03 00:00:00,
0263fbd7-cea,SCH2,90e5550b,241,eb26738b,2024-Dec-03 00:00:00,,ENG
0263fbd7-cea,SCH2,7bd49816,242,eb26738b,2024-Dec-11 00:00:00,,ENG
0263fbd7-cea,SCH2,fc5e8ddd,243,eb26738b,2024-Nov-13 00:00:00,,SCT
0263fbd7-cea,SCH2,07498c59,244,eb26738b,2024-Oct-04 00:00:00,,ENG
0263fbd7-cea,SCH2,2805aa41,245,eb26738b,2024-Sep-07 00:00:00,,ENG
0263fbd7-cea,SCH2,f48c4407,246,eb26738b,2024-Sep-09 00:00:00,2024-Nov-22 00:00:00,WLS
027b55e4-bfd,SCH7,56f5b8c5,247,cfeecd80,2024-Dec-13 00:00:00,,SCT
027b55e4-bfd,SCH7,a1fea9e2,248,cfeecd80,2024-Nov-02 00:00:00,,ENG
027b55e4-bfd,SCH7,e580605c,249,cfeecd80,2024-Oct-04 00:00:00,2024-Nov-19 00:00:00,ENG
027b55e4-bfd,SCH7,4e5cccae,250,cfeecd80,2024-Dec-13 00:00:00,,ENG
