pupilonrolltableid,NativeId,fsmperiodtableid,fsmperiodorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
00737891-2c8,SCH3,5a7384ae,28,76673d5c,2025-Feb-21 00:00:00,,WLS
00737891-2c8,SCH3,9cbd3a0d,29,76673d5c,2025-Apr-07 00:00:00,2025-Mar-26 00:00:00,ENG
00737891-2c8,SCH3,8a72077b,30,76673d5c,2025-Feb-13 00:00:00,,SCT
007a60d5-079,SCH1,a93e83d6,31,b48148c8,2025-Feb-26 00:00:00,2025-Jan-15 00:00:00,ENG
007a60d5-079,SCH1,0bb93c59,32,b48148c8,2025-Feb-15 00:00:00,,
007a7429-53f,SCH1,21160ad4,33,83bb1b2f,2025-Jan-16 00:00:00,,NIR
007a7429-53f,SCH1,596a0544,34,83bb1b2f,2025-Feb-11 00:00:00,2025-Feb-24 00:00:00,ENG
007a7429-53f,SCH1,ded95ec9,35,83bb1b2f,2025-Feb-28 00:00:00,,
007ce401-b14,SCH1,f171f767,36,e79e1ac4,2025-Jan-10 00:00:00,2025-Mar-11 00:00:00,
007ce401-b14,SCH1,cbea58bf,37,e79e1ac4,2025-Feb-26 00:00:00,2025-Jan-18 00:00:00,ENG
007ce401-b14,SCH1,7a145d98,38,e79e1ac4,2025-Feb-01 00:00:00,,ENG
007ce401-b14,SCH1,790ff5d6,39,e79e1ac4,2025-Jan-22 00:00:00,,ENG
007ce401-b14,SCH1,21fc311c,40,e79e1ac4,2025-Feb-03 00:00:00,,ENG
007ce401-b14,SCH1,be8a7ad4,41,e79e1ac4,2025-Mar-21 00:00:00,,SCT
007ce401-b14,SCH1,ba9e7434,42,e79e1ac4,2025-Mar-30 00:00:00,,ENG
007ce401-b14,SCH1,e7eb9282,43,e79e1ac4,2025-Jan-22 00:00:00,,ENG
007ce401-b14,SCH1,98ead30e,44,e79e1ac4,2025-Mar-17 00:00:00,,SCT
00861282-259,SCH6,467b09a2,45,8d6938fb,2025-Feb-15 00:00:00,2025-Mar-09 00:00:00,ENG
00861282-259,SCH6,a4f66312,46,8d6938fb,2025-Jan-09 00:00:00,,ENG
00a2895e-7c0,SCH5,7ecc3275,47,87784ce6,2025-Mar-15 00:00:00,,ENG
00a2895e-7c0,SCH5,4aafcba0,48,87784ce6,2025-Mar-09 00:00:00,2025-Feb-05 00:00:00,SCT
00a2895e-7c0,SCH5,f4c46ded,49,87784ce6,2025-Mar-20 00:00:00,2025-Feb-13 00:00:00,ENG
00a2895e-7c0,SCH5,dc36cd36,50,87784ce6,2025-Mar-14 00:00:00,2025-Jan-06 00:00:00,ENG
00a2895e-7c0,SCH5,03844980,51,87784ce6,2025-Jan-27 00:00:00,,ENG
00a2895e-7c0,SCH5,77310f88,52,87784ce6,2025-Jan-19 00:00:00,,SCT
00a2895e-7c0,SCH5,3155a8c5,53,87784ce6,2025-Jan-25 00:00:00,2025-Feb-18 00:00:00,ENG
00a2895e-7c0,SCH5,5d8e13b6,54,87784ce6,2025-Feb-07 00:00:00,2025-Mar-07 00:00:00,
00a2895e-7c0,SCH5,2bd68110,55,87784ce6,2025-Jan-20 00:00:00,,ENG
00b47c69-f0d,SCH1,37e511be,56,7c40ebc2,2025-Feb-15 00:00:00,2025-Feb-08 00:00:00,SCT
00b47c69-f0d,SCH1,12def1f8,57,7c40ebc2,2025-Jan-25 00:00:00,2025-Feb-24 00:00:00,
00b47c69-f0d,SCH1,bdbc8f4d,58,7c40ebc2,2025-Feb-15 00:00:00,2025-Feb-26 00:00:00,ENG
00b47c69-f0d,SCH1,6f09559c,59,7c40ebc2,2025-Mar-10 00:00:00,,ENG
00b47c69-f0d,SCH1,329ef46f,60,7c40ebc2,2025-Jan-29 00:00:00,2025-Apr-08 00:00:00,ENG
00d48d88-6ca,SCH3,47580b9a,61,58a9c51d,2025-Mar-11 00:00:00,2025-Feb-23 00:00:00,
00d48d88-6ca,SCH3,5542eac5,62,58a9c51d,2025-Mar-14 00:00:00,2025-Mar-18 00:00:00,ENG
00d48d88-6ca,SCH3,59c41a43,63,58a9c51d,2025-Apr-04 00:00:00,,ENG
00d48d88-6ca,SCH3,8bd71f42,64,58a9c51d,2025-Mar-31 00:00:00,2025-Mar-23 00:00:00,
00d48d88-6ca,SCH3,667b2799,65,58a9c51d,2025-Mar-27 00:00:00,2025-Feb-02 00:00:00,ENG
00e2f966-e88,SCH7,fda648e7,66,11236585,2025-Feb-23 00:00:00,2025-Mar-04 00:00:00,ENG
00e2f966-e88,SCH7,080ec4c2,67,11236585,2025-Mar-09 00:00:00,2025-Feb-12 00:00:00,ENG
00e3e3c1-738,SCH3,680134c6,68,3ad200dd,2025-Apr-05 00:00:00,,
00e3e3c1-738,SCH3,0d1db511,69,3ad200dd,2025-Jan-19 00:00:00,2025-Feb-01 00:00:00,
00e3e3c1-738,SCH3,3eb143d1,70,3ad200dd,2025-Mar-06 00:00:00,2025-Jan-19 00:00:00,ENG
00e3e3c1-738,SCH3,3070b0c0,71,3ad200dd,2025-Jan-22 00:00:00,2025-Jan-11 00:00:00,ENG
00e3e3c1-738,SCH3,ee07fb6c,72,3ad200dd,2025-Apr-09 00:00:00,,ENG
00e9397d-27e,SCH2,316a729d,73,32444148,2025-Mar-05 00:00:00,2025-Mar-04 00:00:00,ENG
00ecef55-ae2,SCH1,640ac61d,74,83a2ab58,2025-Apr-07 00:00:00,2025-Feb-03 00:00:00,WLS
00ecef55-ae2,SCH1,1217cccf,75,83a2ab58,2025-Apr-09 00:00:00,,ENG
00ecef55-ae2,SCH1,f404f268,76,83a2ab58,2025-Mar-24 00:00:00,2025-Mar-03 00:00:00,ENG
010aa4cb-931,SCH2,ba6f8630,77,9586e190,2025-Feb-27 00:00:00,2025-Feb-04 00:00:00,
010aa4cb-931,SCH2,5f6bd886,78,9586e190,2025-Feb-17 00:00:00,2025-Jan-26 00:00:00,ENG
010aa4cb-931,SCH2,287a3d97,79,9586e190,2025-Feb-19 00:00:00,2025-Mar-15 00:00:00,ENG
010aa4cb-931,SCH2,d4b82249,80,9586e190,2025-Jan-31 00:00:00,2025-Feb-11 00:00:00,SCT
010aa4cb-931,SCH2,8d007ecc,81,9586e190,2025-Apr-05 00:00:00,,ENG
010aa4cb-931,SCH2,a586ce4c,82,9586e190,2025-Mar-19 00:00:00,2025-Jan-24 00:00:00,ENG
010aa4cb-931,SCH2,21747bd8,83,9586e190,2025-Mar-08 00:00:00,,ENG
010aa4cb-931,SCH2,b61b89bd,84,9586e190,2025-Feb-06 00:00:00,,ENG
012d9587-01b,SCH2,392d367f,85,da0f8ce5,2025-Mar-11 00:00:00,,ENG
012d9587-01b,SCH2,2b434907,86,da0f8ce5,2025-Feb-26 00:00:00,2025-Mar-24 00:00:00,ENG
012d9587-01b,SCH2,6c48ceff,87,da0f8ce5,2025-Feb-25 00:00:00,,ENG
012d9587-01b,SCH2,a9cbf902,88,da0f8ce5,2025-Jan-28 00:00:00,2025-Jan-25 00:00:00,ENG
012d9587-01b,SCH2,ed106943,89,da0f8ce5,2025-Mar-01 00:00:00,,ENG
012d9587-01b,SCH2,829d2995,90,da0f8ce5,2025-Feb-15 00:00:00,2025-Jan-12 00:00:00,SCT
0154b5e1-bf5,SCH2,a11ad7c7,91,8f390bb1,2025-Jan-31 00:00:00,2025-Mar-24 00:00:00,ENG
0154b5e1-bf5,SCH2,b9cc20f0,92,8f390bb1,2025-Mar-22 00:00:00,,ENG
0154b5e1-bf5,SCH2,85722ef4,93,8f390bb1,2025-Feb-02 00:00:00,2025-Mar-12 00:00:00,ENG
01564caa-913,SCH6,2d44e121,94,4810b282,2025-Feb-10 00:00:00,2025-Mar-21 00:00:00,
01564caa-913,SCH6,7db9cff8,95,4810b282,2025-Jan-16 00:00:00,,ENG
01564caa-913,SCH6,572ca266,96,4810b282,2025-Jan-07 00:00:00,2025-Jan-22 00:00:00,WLS
01564caa-913,SCH6,df91354a,97,4810b282,2025-Mar-05 00:00:00,2025-Jan-19 00:00:00,ENG
01564caa-913,SCH6,d1e68d7b,98,4810b282,2025-Feb-17 00:00:00,,ENG
015a50c2-e95,SCH3,6ded75b7,99,10fa2749,2025-Mar-04 00:00:00,,SCT
015a50c2-e95,SCH3,ce0a459a,100,10fa2749,2025-Mar-17 00:00:00,,SCT
015a50c2-e95,SCH3,38d90ac5,101,10fa2749,2025-Feb-28 00:00:00,,ENG
015a50c2-e95,SCH3,fd836a73,102,10fa2749,2025-Mar-02 00:00:00,,SCT
015a50c2-e95,SCH3,d35cc30e,103,10fa2749,2025-Apr-08 00:00:00,2025-Mar-17 00:00:00,SCT
015a50c2-e95,SCH3,d1ddc420,104,10fa2749,2025-Feb-18 00:00:00,,ENG
015a50c2-e95,SCH3,09d55fb0,105,10fa2749,2025-Feb-14 00:00:00,,ENG
015a50c2-e95,SCH3,45660d33,106,10fa2749,2025-Feb-12 00:00:00,,SCT
015a50c2-e95,SCH3,a2a1c825,107,10fa2749,2025-Mar-19 00:00:00,2025-Feb-03 00:00:00,SCT
015a50c2-e95,SCH3,1c738afc,108,10fa2749,2025-Mar-17 00:00:00,,ENG
015e2ada-f29,SCH8,a3fd0cec,109,c2775ccd,2025-Jan-16 00:00:00,,SCT
015e2ada-f29,SCH8,a69e9d25,110,c2775ccd,2025-Feb-02 00:00:00,,ENG
015e2ada-f29,SCH8,235ab6d2,111,c2775ccd,2025-Mar-19 00:00:00,,SCT
01645986-534,SCH8,590466f8,112,c30435b5,2025-Mar-17 00:00:00,2025-Mar-17 00:00:00,WLS
01645986-534,SCH8,324014af,113,c30435b5,2025-Jan-29 00:00:00,,ENG
01645986-534,SCH8,ddd87f3b,114,c30435b5,2025-Jan-23 00:00:00,2025-Mar-17 00:00:00,SCT
01645986-534,SCH8,34f1f4e3,115,c30435b5,2025-Jan-25 00:00:00,,ENG
01645986-534,SCH8,daad5f4a,116,c30435b5,2025-Mar-30 00:00:00,2025-Apr-08 00:00:00,ENG
01645986-534,SCH8,a5b0c64b,117,c30435b5,2025-Jan-22 00:00:00,2025-Apr-05 00:00:00,ENG
016e97a4-301,SCH8,28de8f28,118,1495c510,2025-Jan-12 00:00:00,,ENG
016e97a4-301,SCH8,2d5a8f8b,119,1495c510,2025-Mar-14 00:00:00,,SCT
016e97a4-301,SCH8,bb460f06,120,1495c510,2025-Feb-08 00:00:00,,SCT
017aa6c2-fe1,SCH6,7362afbe,121,aedf3e55,2025-Jan-09 00:00:00,2025-Jan-24 00:00:00,ENG
017aa6c2-fe1,SCH6,afc96763,122,aedf3e55,2025-Jan-08 00:00:00,,ENG
017aa6c2-fe1,SCH6,2da6dfd9,123,aedf3e55,2025-Mar-09 00:00:00,,SCT
017aa6c2-fe1,SCH6,04c50546,124,aedf3e55,2025-Feb-11 00:00:00,,
017aa6c2-fe1,SCH6,ab241ef7,125,aedf3e55,2025-Jan-29 00:00:00,,SCT
017fffe4-75c,SCH8,4b54c477,126,235a6981,2025-Jan-22 00:00:00,,
017fffe4-75c,SCH8,d6ca14a9,127,235a6981,2025-Mar-22 00:00:00,2025-Apr-05 00:00:00,NIR
017fffe4-75c,SCH8,646f4dd8,128,235a6981,2025-Jan-14 00:00:00,2025-Jan-12 00:00:00,ENG
017fffe4-75c,SCH8,4ba6d1d3,129,235a6981,2025-Jan-26 00:00:00,2025-Feb-17 00:00:00,ENG
017fffe4-75c,SCH8,8913c8f3,130,235a6981,2025-Jan-17 00:00:00,,ENG
017fffe4-75c,SCH8,611f22d8,131,235a6981,2025-Feb-05 00:00:00,2025-Mar-29 00:00:00,
0183bc4b-6ce,SCH2,25fc1cac,132,5d7ec590,2025-Mar-03 00:00:00,2025-Jan-11 00:00:00,NIR
0183bc4b-6ce,SCH2,25fb1d3e,133,5d7ec590,2025-Apr-04 00:00:00,2025-Jan-27 00:00:00,NIR
0183bc4b-6ce,SCH2,c313695a,134,5d7ec590,2025-Mar-03 00:00:00,2025-Feb-22 00:00:00,ENG
0183bc4b-6ce,SCH2,b2c5846a,135,5d7ec590,2025-Jan-28 00:00:00,,ENG
0188f245-602,SCH8,c14bd222,136,a2329ed9,2025-Mar-25 00:00:00,2025-Apr-05 00:00:00,ENG
0188f245-602,SCH8,b0c31b2a,137,a2329ed9,2025-Mar-15 00:00:00,2025-Jan-24 00:00:00,SCT
0188f245-602,SCH8,4b84f552,138,a2329ed9,2025-Feb-09 00:00:00,2025-Mar-29 00:00:00,SCT
0188f245-602,SCH8,ef14d4e6,139,a2329ed9,2025-Jan-19 00:00:00,2025-Feb-26 00:00:00,SCT
0188f245-602,SCH8,3b2699f4,140,a2329ed9,2025-Feb-06 00:00:00,2025-Feb-12 00:00:00,ENG
0188f245-602,SCH8,1798b038,141,a2329ed9,2025-Feb-19 00:00:00,,NIR
01a0b4d1-79b,SCH8,bd4d5f9d,142,0f00f121,2025-Jan-30 00:00:00,2025-Feb-24 00:00:00,ENG
01a0b4d1-79b,SCH8,9dbaba92,143,0f00f121,2025-Mar-01 00:00:00,,SCT
01a0b4d1-79b,SCH8,ca957aa9,144,0f00f121,2025-Mar-28 00:00:00,,ENG
01a0b4d1-79b,SCH8,d9889959,145,0f00f121,2025-Jan-07 00:00:00,2025-Jan-20 00:00:00,NIR
01a0b4d1-79b,SCH8,0caab565,146,0f00f121,2025-Mar-09 00:00:00,2025-Jan-11 00:00:00,ENG
01a0b4d1-79b,SCH8,85ee8c1a,147,0f00f121,2025-Feb-28 00:00:00,,SCT
01a0b4d1-79b,SCH8,93619da8,148,0f00f121,2025-Mar-09 00:00:00,,WLS
01a0b4d1-79b,SCH8,e4e1c7f4,149,0f00f121,2025-Mar-06 00:00:00,,
01aa8772-70d,SCH2,627359ae,150,7d6be345,2025-Feb-11 00:00:00,,
01aa8772-70d,SCH2,1060dd7e,151,7d6be345,2025-Feb-28 00:00:00,2025-Jan-26 00:00:00,ENG
01aa8772-70d,SCH2,392ee06b,152,7d6be345,2025-Mar-25 00:00:00,2025-Jan-19 00:00:00,ENG
01aa8772-70d,SCH2,0b66d07f,153,7d6be345,2025-Mar-17 00:00:00,2025-Jan-13 00:00:00,ENG
01aa8772-70d,SCH2,daf43709,154,7d6be345,2025-Jan-24 00:00:00,,ENG
01aa8772-70d,SCH2,f19ecfe1,155,7d6be345,2025-Jan-24 00:00:00,,ENG
01aa8772-70d,SCH2,f27d2a97,156,7d6be345,2025-Jan-30 00:00:00,,
01aa8772-70d,SCH2,419f0a07,157,7d6be345,2025-Mar-28 00:00:00,,ENG
01aa8772-70d,SCH2,415e219d,158,7d6be345,2025-Feb-27 00:00:00,,SCT
01aa8772-70d,SCH2,cd1207bb,159,7d6be345,2025-Apr-07 00:00:00,,ENG
01ab75f8-504,SCH1,2b2fa72d,160,64b0a4d4,2025-Feb-25 00:00:00,2025-Jan-29 00:00:00,
01ab75f8-504,SCH1,e24f5acf,161,64b0a4d4,2025-Apr-07 00:00:00,,ENG
01dfc5f8-834,SCH4,92e1ca52,162,d2ed446a,2025-Mar-03 00:00:00,2025-Jan-28 00:00:00,ENG
01dfc5f8-834,SCH4,dbbc37c5,163,d2ed446a,2025-Apr-08 00:00:00,2025-Mar-23 00:00:00,ENG
01dfc5f8-834,SCH4,203f39bc,164,d2ed446a,2025-Feb-16 00:00:00,2025-Feb-06 00:00:00,
01dfc5f8-834,SCH4,a50819c9,165,d2ed446a,2025-Feb-25 00:00:00,2025-Jan-06 00:00:00,ENG
01dfc5f8-834,SCH4,a929b570,166,d2ed446a,2025-Feb-06 00:00:00,2025-Mar-30 00:00:00,ENG
01dfc5f8-834,SCH4,0b1eea55,167,d2ed446a,2025-Jan-21 00:00:00,,ENG
01dfc5f8-834,SCH4,9570e570,168,d2ed446a,2025-Apr-03 00:00:00,,ENG
01dfc5f8-834,SCH4,2e7fe49f,169,d2ed446a,2025-Feb-26 00:00:00,,ENG
01dfc5f8-834,SCH4,8f439675,170,d2ed446a,2025-Jan-08 00:00:00,2025-Jan-10 00:00:00,ENG
01dfc5f8-834,SCH4,c49d48ea,171,d2ed446a,2025-Jan-19 00:00:00,,ENG
01ed06bc-72e,SCH3,c869e16a,172,0e7b16d0,2025-Jan-06 00:00:00,2025-Mar-22 00:00:00,ENG
01ed06bc-72e,SCH3,b2923786,173,0e7b16d0,2025-Mar-12 00:00:00,,ENG
01ed06bc-72e,SCH3,5620fb91,174,0e7b16d0,2025-Feb-15 00:00:00,2025-Feb-06 00:00:00,SCT
0209d767-3ec,SCH2,c299ad81,175,939ce180,2025-Mar-06 00:00:00,,ENG
0209d767-3ec,SCH2,f33c9c87,176,939ce180,2025-Mar-16 00:00:00,2025-Jan-09 00:00:00,ENG
0209d767-3ec,SCH2,0413cb3f,177,939ce180,2025-Mar-31 00:00:00,2025-Feb-28 00:00:00,ENG
0209d767-3ec,SCH2,b6afda1c,178,939ce180,2025-Feb-20 00:00:00,2025-Feb-04 00:00:00,WLS
0209d767-3ec,SCH2,3df9b146,179,939ce180,2025-Feb-18 00:00:00,2025-Jan-17 00:00:00,WLS
0209d767-3ec,SCH2,29ab70da,180,939ce180,2025-Jan-19 00:00:00,2025-Mar-19 00:00:00,ENG
0209d767-3ec,SCH2,854ff18c,181,939ce180,2025-Mar-19 00:00:00,2025-Jan-24 00:00:00,SCT
020de71c-5f0,SCH2,abe9ca40,182,0563d663,2025-Feb-15 00:00:00,2025-Feb-15 00:00:00,ENG
020de71c-5f0,SCH2,894f765a,183,0563d663,2025-Jan-19 00:00:00,,ENG
021425e0-64f,SCH5,c7986c21,184,ff3931ba,2025-Mar-24 00:00:00,,ENG
021425e0-64f,SCH5,c9224310,185,ff3931ba,2025-Jan-25 00:00:00,2025-Mar-17 00:00:00,ENG
02149e28-3dc,SCH5,60d57444,186,49ed406b,2025-Jan-27 00:00:00,2025-Mar-11 00:00:00,ENG
02149e28-3dc,SCH5,4f6a9048,187,49ed406b,2025-Feb-05 00:00:00,,ENG
02149e28-3dc,SCH5,9a8f6deb,188,49ed406b,2025-Mar-07 00:00:00,2025-Feb-23 00:00:00,ENG
02149e28-3dc,SCH5,80f34348,189,49ed406b,2025-Mar-30 00:00:00,2025-Mar-10 00:00:00,ENG
02211e5a-3f0,SCH2,ae80a72c,190,436bcdbd,2025-Jan-19 00:00:00,,NIR
02211e5a-3f0,SCH2,c0f16e8d,191,436bcdbd,2025-Jan-31 00:00:00,,ENG
02211e5a-3f0,SCH2,9fd07779,192,436bcdbd,2025-Mar-03 00:00:00,2025-Apr-07 00:00:00,ENG
02211e5a-3f0,SCH2,c432abcd,193,436bcdbd,2025-Jan-25 00:00:00,2025-Jan-16 00:00:00,ENG
02211e5a-3f0,SCH2,1f87da4b,194,436bcdbd,2025-Feb-03 00:00:00,2025-Feb-03 00:00:00,ENG
02211e5a-3f0,SCH2,1e074054,195,436bcdbd,2025-Mar-02 00:00:00,2025-Mar-13 00:00:00,NIR
02211e5a-3f0,SCH2,db72f4fb,196,436bcdbd,2025-Mar-22 00:00:00,2025-Feb-03 00:00:00,ENG
02211e5a-3f0,SCH2,2082ff69,197,436bcdbd,2025-Jan-18 00:00:00,,
02211e5a-3f0,SCH2,5ccf549d,198,436bcdbd,2025-Feb-02 00:00:00,2025-Feb-16 00:00:00,ENG
02211e5a-3f0,SCH2,b662c2c7,199,436bcdbd,2025-Jan-29 00:00:00,,ENG
022173c1-4fe,SCH2,160b2487,200,af92bc86,2025-Mar-04 00:00:00,2025-Feb-06 00:00:00,ENG
022173c1-4fe,SCH2,adfa9874,201,af92bc86,2025-Jan-28 00:00:00,2025-Jan-16 00:00:00,NIR
022173c1-4fe,SCH2,58becb8a,202,af92bc86,2025-Apr-07 00:00:00,2025-Jan-30 00:00:00,SCT
022173c1-4fe,SCH2,3cd1b0f7,203,af92bc86,2025-Mar-12 00:00:00,2025-Mar-18 00:00:00,ENG
022173c1-4fe,SCH2,28d1de6a,204,af92bc86,2025-Mar-15 00:00:00,2025-Jan-18 00:00:00,NIR
022173c1-4fe,SCH2,25ca93d7,205,af92bc86,2025-Apr-01 00:00:00,,ENG
022173c1-4fe,SCH2,2877e0d6,206,af92bc86,2025-Jan-14 00:00:00,,ENG
022306da-25f,SCH3,6e00299a,207,f98fd81d,2025-Jan-27 00:00:00,,NIR
022306da-25f,SCH3,fa9d497b,208,f98fd81d,2025-Jan-14 00:00:00,,ENG
022306da-25f,SCH3,e3492469,209,f98fd81d,2025-Feb-17 00:00:00,,ENG
0228116d-6b3,SCH6,e8636ded,210,708be33b,2025-Mar-09 00:00:00,2025-Jan-30 00:00:00,ENG
0228116d-6b3,SCH6,1db9298e,211,708be33b,2025-Feb-14 00:00:00,2025-Mar-13 00:00:00,ENG
0228116d-6b3,SCH6,4be21c4c,212,708be33b,2025-Mar-21 00:00:00,2025-Mar-31 00:00:00,ENG
0228116d-6b3,SCH6,d676f646,213,708be33b,2025-Jan-06 00:00:00,2025-Jan-21 00:00:00,ENG
0228116d-6b3,SCH6,5021786e,214,708be33b,2025-Mar-28 00:00:00,,ENG
0228116d-6b3,SCH6,6d904d3e,215,708be33b,2025-Jan-24 00:00:00,,ENG
0228116d-6b3,SCH6,dd35bc0d,216,708be33b,2025-Feb-21 00:00:00,2025-Jan-15 00:00:00,ENG
0228116d-6b3,SCH6,3da6d103,217,708be33b,2025-Mar-20 00:00:00,2025-Jan-28 00:00:00,ENG
0228116d-6b3,SCH6,3cb2d9d3,218,708be33b,2025-Jan-19 00:00:00,,ENG
0228116d-6b3,SCH6,46b08c08,219,708be33b,2025-Jan-27 00:00:00,,NIR
023d6276-432,SCH6,f5f61f65,220,46580fa4,2025-Feb-06 00:00:00,,
023d6276-432,SCH6,0382f948,221,46580fa4,2025-Jan-18 00:00:00,,ENG
023d6276-432,SCH6,fee16910,222,46580fa4,2025-Mar-10 00:00:00,,ENG
023d6276-432,SCH6,c6a97786,223,46580fa4,2025-Feb-02 00:00:00,,ENG
024a1d5e-4cb,SCH7,d95fdaac,224,4e3cbfbe,2025-Feb-26 00:00:00,,ENG
024a1d5e-4cb,SCH7,997a5af1,225,4e3cbfbe,2025-Feb-19 00:00:00,2025-Apr-02 00:00:00,ENG
024a1d5e-4cb,SCH7,eef040d8,226,4e3cbfbe,2025-Feb-26 00:00:00,2025-Jan-22 00:00:00,ENG
025d9a45-958,SCH1,499150ff,227,03f1c73a,2025-Apr-06 00:00:00,,SCT
026164da-0dc,SCH2,4e2bdf60,228,b7090b0a,2025-Jan-23 00:00:00,,ENG
026164da-0dc,SCH2,05955d38,229,b7090b0a,2025-Jan-14 00:00:00,,ENG
026164da-0dc,SCH2,1dec8f5a,230,b7090b0a,2025-Mar-05 00:00:00,2025-Mar-04 00:00:00,ENG
026164da-0dc,SCH2,b1353f43,231,b7090b0a,2025-Feb-25 00:00:00,2025-Mar-15 00:00:00,NIR
026164da-0dc,SCH2,c5b858e8,232,b7090b0a,2025-Jan-17 00:00:00,,
026164da-0dc,SCH2,92764fb0,233,b7090b0a,2025-Mar-30 00:00:00,,ENG
026164da-0dc,SCH2,99b59254,234,b7090b0a,2025-Jan-12 00:00:00,2025-Feb-03 00:00:00,ENG
026164da-0dc,SCH2,ce82187c,235,b7090b0a,2025-Mar-06 00:00:00,2025-Jan-27 00:00:00,NIR
0263fbd7-cea,SCH2,1fa7889d,236,662042c7,2025-Apr-03 00:00:00,2025-Feb-11 00:00:00,ENG
0263fbd7-cea,SCH2,84d18d1d,237,662042c7,2025-Jan-06 00:00:00,,ENG
0263fbd7-cea,SCH2,3c36cbe0,238,662042c7,2025-Mar-29 00:00:00,2025-Mar-29 00:00:00,NIR
0263fbd7-cea,SCH2,a7eed4a1,239,662042c7,2025-Feb-23 00:00:00,2025-Apr-03 00:00:00,NIR
0263fbd7-cea,SCH2,7f4e1b5e,240,662042c7,2025-Mar-12 00:00:00,2025-Mar-12 00:00:00,ENG
02693da2-0eb,SCH3,093a6e83,241,20f22acf,2025-Apr-04 00:00:00,2025-Feb-26 00:00:00,ENG
02693da2-0eb,SCH3,0fcceeb4,242,20f22acf,2025-Jan-23 00:00:00,2025-Jan-28 00:00:00,ENG
02693da2-0eb,SCH3,baf8bc28,243,20f22acf,2025-Mar-17 00:00:00,,ENG
02693da2-0eb,SCH3,2006263e,244,20f22acf,2025-Mar-11 00:00:00,,ENG
02693da2-0eb,SCH3,8358a7e4,245,20f22acf,2025-Apr-01 00:00:00,,WLS
02693da2-0eb,SCH3,65ff4316,246,20f22acf,2025-Apr-03 00:00:00,2025-Mar-13 00:00:00,ENG
02693da2-0eb,SCH3,fba8437a,247,20f22acf,2025-Mar-21 00:00:00,2025-Mar-08 00:00:00,ENG
