pupilonrolltableid,NativeId,summerhalfterm2sessiondetailsonrolltableid,summerhalfterm2sessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
00c57c03-6d2,SCH3,4d4f4d92,104,d314677d,132.0,C
00c57c03-6d2,SCH3,2391bef2,108,d314677d,130.0,E
00c57c03-6d2,SCH3,f9f535d2,107,d314677d,132.0,H
00c57c03-6d2,SCH3,f38d6764,103,d314677d,127.0,N
00c57c03-6d2,SCH3,6d14231a,105,d314677d,131.0,O
00c57c03-6d2,SCH3,cc671be9,106,d314677d,124.0,Y
00d48d88-6ca,SCH3,54462a8f,118,05459979,133.0,C
00d48d88-6ca,SCH3,429bbe12,119,05459979,125.0,G
00d48d88-6ca,SCH3,b1d0c2c3,114,05459979,128.0,I
00d48d88-6ca,SCH3,a5144157,112,05459979,133.0,M
00d48d88-6ca,SCH3,57380f06,115,05459979,129.0,T
00d48d88-6ca,SCH3,79de895e,111,05459979,129.0,Y
00d575a7-dc8,SCH7,72a0beac,120,ad2bdd55,122.0,C
00d575a7-dc8,SCH7,a531dc08,121,ad2bdd55,134.0,U
00da3cc7-b28,SCH1,7a46166a,122,c31558f8,137.0,C
00da3cc7-b28,SCH1,48feab48,125,c31558f8,131.0,G
00da3cc7-b28,SCH1,41b42afb,124,c31558f8,123.0,N
00da3cc7-b28,SCH1,d1c9efeb,130,c31558f8,127.0,R
00da3cc7-b28,SCH1,c896b773,126,c31558f8,139.0,S
00da3cc7-b28,SCH1,c98f5071,128,c31558f8,129.0,Y
00da3cc7-b28,SCH1,2849ee34,123,c31558f8,134.0,Z
00e2f966-e88,SCH7,6caa3c2e,131,d0b78ac7,127.0,G
00e2f966-e88,SCH7,c8a287e2,132,d0b78ac7,120.0,R
00e3e3c1-738,SCH3,2ecef267,133,67b352ef,125.0,E
00e3e3c1-738,SCH3,d5d41719,134,67b352ef,131.0,T
00e9397d-27e,SCH7,947b0cdf,142,9722c3d1,136.0,C
00e9397d-27e,SCH7,a41bb32b,138,9722c3d1,134.0,I
00e9397d-27e,SCH7,e62afac5,136,9722c3d1,125.0,M
00e9397d-27e,SCH7,f4c806b5,140,9722c3d1,129.0,Y
00ecef55-ae2,SCH1,25810cd5,147,ce202db3,130.0,#
00ecef55-ae2,SCH1,6a578ed3,148,ce202db3,127.0,C
00ecef55-ae2,SCH1,b4a9f609,146,ce202db3,125.0,M
00ecef55-ae2,SCH1,31bd9d37,145,ce202db3,133.0,N
00f6b660-59e,SCH2,f633d2c9,150,66c86255,132.0,M
01080e0c-45b,SCH6,9b3fd025,157,cc8a5bd5,123.0,C
01080e0c-45b,SCH6,0113f245,153,cc8a5bd5,128.0,G
01080e0c-45b,SCH6,fce43395,158,cc8a5bd5,125.0,H
01080e0c-45b,SCH6,267c0e81,151,cc8a5bd5,127.0,S
01080e0c-45b,SCH6,7e2b6dab,152,cc8a5bd5,131.0,T
01080e0c-45b,SCH6,f57e821f,154,cc8a5bd5,132.0,X
01080e0c-45b,SCH6,c2223fa4,159,cc8a5bd5,127.0,Z
010aa4cb-931,SCH2,705b8072,161,e1b37b5e,130.0,G
010aa4cb-931,SCH2,5ad2687b,162,e1b37b5e,130.0,H
010aa4cb-931,SCH2,2b61a773,160,e1b37b5e,138.0,S
010d4a31-384,SCH1,f6157386,166,432b281b,126.0,C
010d4a31-384,SCH1,9089a957,168,432b281b,137.0,H
010d4a31-384,SCH1,ff22fc68,163,432b281b,128.0,I
010d4a31-384,SCH1,e8ff33ef,169,432b281b,133.0,U
010d4a31-384,SCH1,a95cded5,165,432b281b,128.0,X
011c54a5-f16,SCH4,3af26c3f,174,9053b7c7,133.0,E
011c54a5-f16,SCH4,323d1c03,176,9053b7c7,125.0,M
011c54a5-f16,SCH4,8e5e7d54,172,9053b7c7,121.0,N
011c54a5-f16,SCH4,1da70a65,171,9053b7c7,121.0,S
012d9587-01b,SCH2,3a24f4ad,180,d619a422,121.0,C
012d9587-01b,SCH2,703c6376,181,d619a422,136.0,G
012d9587-01b,SCH2,ca08660d,182,d619a422,131.0,H
012d9587-01b,SCH2,e55d7b43,178,d619a422,136.0,M
0134a3c5-4bc,SCH2,be87e1b7,185,196c0fa4,130.0,C
0134a3c5-4bc,SCH2,ac73df74,188,196c0fa4,129.0,E
0134a3c5-4bc,SCH2,aa5b18a7,187,196c0fa4,128.0,I
0134a3c5-4bc,SCH2,a7610d3c,183,196c0fa4,130.0,M
0134a3c5-4bc,SCH2,4baf6043,184,196c0fa4,124.0,N
01359d1e-dc2,SCH1,f6ff4e94,190,34747343,129.0,C
01359d1e-dc2,SCH1,bff8abd9,191,34747343,128.0,G
01359d1e-dc2,SCH1,ba96cbb6,193,34747343,131.0,H
01359d1e-dc2,SCH1,3dd57174,194,34747343,136.0,M
01359d1e-dc2,SCH1,6ca91ad4,189,34747343,125.0,N
01359d1e-dc2,SCH1,1598ac00,192,34747343,134.0,S
013e6c4a-b75,SCH6,1a875ab2,199,b7922a9b,129.0,C
013e6c4a-b75,SCH6,c68a4930,200,b7922a9b,130.0,E
013e6c4a-b75,SCH6,f77e608f,198,b7922a9b,132.0,G
013e6c4a-b75,SCH6,e20e9fbd,197,b7922a9b,131.0,H
01488c87-02d,SCH2,7ebb2495,203,dc3ea7d4,129.0,H
01488c87-02d,SCH2,c2654c85,202,dc3ea7d4,130.0,I
01488c87-02d,SCH2,f3e7cf2a,201,dc3ea7d4,134.0,M
01488c87-02d,SCH2,189a65c9,205,dc3ea7d4,129.0,U
0154b5e1-bf5,SCH2,70659d0b,206,e35bcae1,131.0,G
01564caa-913,SCH6,c2e0f5c9,211,97f1937d,138.0,E
01564caa-913,SCH6,522b4a14,213,97f1937d,138.0,H
01564caa-913,SCH6,f4a23ffc,208,97f1937d,148.0,N
01564caa-913,SCH6,a02d0f72,214,97f1937d,128.0,O
01564caa-913,SCH6,96e7014e,210,97f1937d,129.0,T
01564caa-913,SCH6,62bc2430,207,97f1937d,133.0,Y
01564caa-913,SCH6,f9b09f12,209,97f1937d,137.0,Z
015a50c2-e95,SCH6,235ed901,218,d5ca70d3,124.0,E
015a50c2-e95,SCH6,3da49d54,219,d5ca70d3,130.0,M
015a50c2-e95,SCH6,db2b669b,217,d5ca70d3,138.0,O
015a50c2-e95,SCH6,d201d0b3,216,d5ca70d3,135.0,R
015a50c2-e95,SCH6,f4f2c052,215,d5ca70d3,124.0,Z
015e1d34-e1e,SCH6,5132bc38,224,7b5a40a9,135.0,G
015e1d34-e1e,SCH6,d341ea99,223,7b5a40a9,136.0,R
015e1d34-e1e,SCH6,9af8b044,220,7b5a40a9,125.0,S
015e1d34-e1e,SCH6,e95151f2,222,7b5a40a9,136.0,T
015e1d34-e1e,SCH6,4f855182,221,7b5a40a9,125.0,X
015e2ada-f29,SCH8,a890131b,226,d139bec6,134.0,E
015e2ada-f29,SCH8,7ad8255d,227,d139bec6,134.0,H
015e2ada-f29,SCH8,5314658a,230,d139bec6,130.0,I
015e2ada-f29,SCH8,ce8e7d75,225,d139bec6,135.0,O
015e2ada-f29,SCH8,24f70a37,228,d139bec6,134.0,T
0162b45c-a58,SCH7,5a28f12e,231,7d21dc34,133.0,H
0162b45c-a58,SCH7,8b038f6b,234,7d21dc34,129.0,M
0162b45c-a58,SCH7,700ef013,232,7d21dc34,133.0,R
0162b45c-a58,SCH7,a23f3afe,233,7d21dc34,133.0,Z
016343eb-e88,SCH7,a555ecdc,237,d89e4ca1,133.0,C
016343eb-e88,SCH7,9029bfc4,238,d89e4ca1,126.0,E
016343eb-e88,SCH7,1b44ac38,236,d89e4ca1,135.0,M
016343eb-e88,SCH7,057fac15,239,d89e4ca1,136.0,R
016343eb-e88,SCH7,7f1f884a,240,d89e4ca1,117.0,S
016343eb-e88,SCH7,465501df,235,d89e4ca1,135.0,X
01645986-534,SCH8,0599a215,244,fc4a1459,131.0,C
01645986-534,SCH8,d8c1770b,245,fc4a1459,130.0,E
01645986-534,SCH8,00646959,241,fc4a1459,137.0,G
01645986-534,SCH8,e2d0da32,247,fc4a1459,128.0,M
01645986-534,SCH8,3280e0ac,242,fc4a1459,133.0,N
01645986-534,SCH8,6cbc0cc0,243,fc4a1459,127.0,O
01645986-534,SCH8,9f562834,246,fc4a1459,140.0,R
016a3e1b-2a5,SCH7,4df9a363,248,17392571,123.0,G
016e97a4-301,SCH8,b2b62990,250,f84af39a,129.0,C
016e97a4-301,SCH8,a75f680c,252,f84af39a,128.0,G
016e97a4-301,SCH8,90f3bf13,249,f84af39a,135.0,H
016e97a4-301,SCH8,83c741ea,254,f84af39a,124.0,M
016e97a4-301,SCH8,e8dfd26a,253,f84af39a,123.0,T
017aa6c2-fe1,SCH6,387f276c,257,aab7882d,134.0,G
017aa6c2-fe1,SCH6,1b92e219,258,aab7882d,130.0,H
017aa6c2-fe1,SCH6,bcaaae5a,261,aab7882d,126.0,M
017aa6c2-fe1,SCH6,5e5bdd4d,259,aab7882d,131.0,S
017aa6c2-fe1,SCH6,c6a5cf75,260,aab7882d,126.0,T
017aa6c2-fe1,SCH6,2dfde0bb,256,aab7882d,127.0,Y
017fffe4-75c,SCH8,6e2bedce,266,d696e2f5,140.0,#
017fffe4-75c,SCH8,0e0edc62,264,d696e2f5,127.0,C
017fffe4-75c,SCH8,a2ec5007,265,d696e2f5,140.0,G
017fffe4-75c,SCH8,eac40349,262,d696e2f5,123.0,H
017fffe4-75c,SCH8,dedaa81a,263,d696e2f5,140.0,O
0183bc4b-6ce,SCH2,70c58c7a,268,f743039c,129.0,G
0183bc4b-6ce,SCH2,e81d5236,269,f743039c,,S
0183bc4b-6ce,SCH2,39fff3a8,271,f743039c,125.0,U
0183bc4b-6ce,SCH2,7cf10f72,270,f743039c,121.0,X
0185afe5-85c,SCH2,5efd22b8,281,86e3abe9,136.0,C
0185afe5-85c,SCH2,8253d997,277,86e3abe9,125.0,H
0185afe5-85c,SCH2,6d1f8312,273,86e3abe9,132.0,N
0185afe5-85c,SCH2,ffd33f76,274,86e3abe9,131.0,R
0185afe5-85c,SCH2,1bf3cab4,272,86e3abe9,125.0,S
01861a4b-993,SCH1,4060627e,286,dad554d7,133.0,C
01861a4b-993,SCH1,c76cb5e3,283,dad554d7,134.0,E
01861a4b-993,SCH1,7abcee42,282,dad554d7,129.0,H
01861a4b-993,SCH1,cb91b63e,287,dad554d7,135.0,M
01861a4b-993,SCH1,7f3abae4,284,dad554d7,129.0,Z
0188f245-602,SCH8,f51a64a7,288,57afd8f3,136.0,I
0188f245-602,SCH8,f44248f6,290,57afd8f3,132.0,U
0188f245-602,SCH8,cda087fb,289,57afd8f3,128.0,Z
019cfc62-962,SCH6,6c9320f3,292,f14390bc,126.0,G
019cfc62-962,SCH6,d8a9e558,294,f14390bc,128.0,I
019cfc62-962,SCH6,97da9cba,298,f14390bc,121.0,N
019cfc62-962,SCH6,f3288ade,296,f14390bc,130.0,R
019cfc62-962,SCH6,90d60ad8,295,f14390bc,123.0,S
019cfc62-962,SCH6,bc8778ac,291,f14390bc,127.0,X
019cfc62-962,SCH6,07bed38e,293,f14390bc,131.0,Z
019df92f-194,SCH7,d29407f6,303,d613d234,132.0,C
019df92f-194,SCH7,19e21f44,307,d613d234,135.0,H
019df92f-194,SCH7,8a122274,302,d613d234,132.0,I
019df92f-194,SCH7,b648c467,300,d613d234,125.0,S
019df92f-194,SCH7,4538a69e,301,d613d234,129.0,T
01a0b4d1-79b,SCH8,6a5d9a01,314,35302d03,132.0,C
01a0b4d1-79b,SCH8,9410e2f3,312,35302d03,128.0,G
01a0b4d1-79b,SCH8,95e31cb9,308,35302d03,133.0,I
01a0b4d1-79b,SCH8,a0f6be44,315,35302d03,126.0,M
01a0b4d1-79b,SCH8,3686f04d,309,35302d03,139.0,N
01a0b4d1-79b,SCH8,942b62c7,310,35302d03,132.0,O
01a0b4d1-79b,SCH8,b27412c8,313,35302d03,,R
01a0b4d1-79b,SCH8,44971720,316,35302d03,130.0,S
01aa8772-70d,SCH2,b88dcfc5,320,010e1fd0,132.0,#
01aa8772-70d,SCH2,e7e4694d,317,010e1fd0,138.0,C
01aa8772-70d,SCH2,929ebd11,319,010e1fd0,123.0,R
01ab75f8-504,SCH1,9eb2b5ee,322,9e5ec111,134.0,E
01ab75f8-504,SCH1,8ab312a5,321,9e5ec111,134.0,G
01af0693-90a,SCH7,6ebfd6af,323,2dc17e6b,127.0,C
01af0693-90a,SCH7,b111a293,324,2dc17e6b,127.0,G
01af0693-90a,SCH7,446af9d5,326,2dc17e6b,134.0,H
01af0693-90a,SCH7,8e61771c,327,2dc17e6b,125.0,N
01af0693-90a,SCH7,fc48e0f9,325,2dc17e6b,130.0,R
01b4b057-87a,SCH5,cd9a2248,331,16ff9c54,128.0,C
01b4b057-87a,SCH5,a2510e58,332,16ff9c54,130.0,E
01b4b057-87a,SCH5,e160662c,330,16ff9c54,134.0,H
01b4b057-87a,SCH5,c0dc64dc,329,16ff9c54,125.0,M
01b4b057-87a,SCH5,c31858c4,328,16ff9c54,130.0,Y
01cc47ac-658,SCH1,d6ed32cc,334,875ac061,126.0,C
01cc47ac-658,SCH1,8e9a4e65,333,875ac061,129.0,M
01da4f0d-44e,SCH3,07eee95a,336,ef921f8c,131.0,O
01da4f0d-44e,SCH3,d9a59dcf,335,ef921f8c,130.0,S
01dfc5f8-834,SCH4,56284748,339,a39ef2c2,129.0,#
01dfc5f8-834,SCH4,e64277f5,340,a39ef2c2,122.0,C
01dfc5f8-834,SCH4,2fe31e12,343,a39ef2c2,129.0,N
01dfc5f8-834,SCH4,f5919ce3,341,a39ef2c2,132.0,X
01dfc5f8-834,SCH4,af36a603,342,a39ef2c2,131.0,Z
01ebda30-5a0,SCH2,7413d126,346,12813446,130.0,C
01ebda30-5a0,SCH2,05262cbf,352,12813446,136.0,E
01ebda30-5a0,SCH2,4612b1f1,345,12813446,136.0,G
01ebda30-5a0,SCH2,c037a744,349,12813446,131.0,I
01ebda30-5a0,SCH2,73ed72f1,354,12813446,132.0,M
01ebda30-5a0,SCH2,aa4ecd78,347,12813446,127.0,N
01ed06bc-72e,SCH3,6eb02d1b,358,b6eb5a64,143.0,I
01ed06bc-72e,SCH3,92d18bc7,355,b6eb5a64,,S
01ed06bc-72e,SCH3,c383cc64,357,b6eb5a64,134.0,Y
0200b7ed-ca9,SCH1,6a9d5c24,360,32aa9708,126.0,G
0200b7ed-ca9,SCH1,a469ad42,359,32aa9708,138.0,H
0207ff07-7f7,SCH3,b2f0066b,365,fe699b28,126.0,#
0207ff07-7f7,SCH3,90195a61,367,fe699b28,134.0,E
0207ff07-7f7,SCH3,64d081fb,366,fe699b28,128.0,H
0207ff07-7f7,SCH3,be7d4b8d,361,fe699b28,126.0,I
0207ff07-7f7,SCH3,e9b52442,362,fe699b28,129.0,M
0207ff07-7f7,SCH3,b9cd5232,363,fe699b28,123.0,Y
0209d767-3ec,SCH2,01db0a51,368,f396e378,126.0,H
0209d767-3ec,SCH2,afe7b47f,371,f396e378,123.0,I
0209d767-3ec,SCH2,50206500,372,f396e378,127.0,R
0209d767-3ec,SCH2,27606220,370,f396e378,133.0,S
0209d767-3ec,SCH2,148a0a32,375,f396e378,142.0,X
020de71c-5f0,SCH2,48b6e038,376,357a545f,118.0,H
021425e0-64f,SCH5,ef698a35,382,3536251e,132.0,E
021425e0-64f,SCH5,343d6bdc,378,3536251e,127.0,G
021425e0-64f,SCH5,f64a9009,380,3536251e,128.0,H
021425e0-64f,SCH5,1ab74368,377,3536251e,129.0,N
021425e0-64f,SCH5,9b0c7450,383,3536251e,119.0,R
021425e0-64f,SCH5,cced7430,384,3536251e,126.0,T
021425e0-64f,SCH5,9af3dad0,379,3536251e,136.0,X
02149e28-3dc,SCH5,6919d051,387,5d95d07b,133.0,C
02149e28-3dc,SCH5,8774ced7,392,5d95d07b,126.0,I
02149e28-3dc,SCH5,8635693b,388,5d95d07b,139.0,M
02211e5a-3f0,SCH2,c2220231,393,87a737c5,131.0,#
022173c1-4fe,SCH2,413a27a1,395,9427c833,129.0,G
022173c1-4fe,SCH2,3d413253,394,9427c833,127.0,H
022173c1-4fe,SCH2,42200204,396,9427c833,120.0,X
022306da-25f,SCH3,48a004f1,402,0b332e62,126.0,G
022306da-25f,SCH3,75eff59b,401,0b332e62,126.0,N
022306da-25f,SCH3,6ebb08d6,399,0b332e62,128.0,R
022306da-25f,SCH3,a07a7e92,398,0b332e62,132.0,S
022306da-25f,SCH3,ae0b5053,400,0b332e62,131.0,T
0228116d-6b3,SCH6,6fc5c1ba,405,6768854b,130.0,E
0228116d-6b3,SCH6,8810f550,403,6768854b,123.0,G
0228116d-6b3,SCH6,60eb5acf,404,6768854b,131.0,R
02332c43-1fe,SCH2,3cb1af94,406,fa0ddb02,125.0,C
023864e0-886,SCH5,d22acff0,408,282320f0,141.0,M
023864e0-886,SCH5,1c55e999,407,282320f0,128.0,X
0239b80f-bcc,SCH2,fe8dc524,410,4c1df643,126.0,I
0239b80f-bcc,SCH2,91a3d9e8,412,4c1df643,131.0,N
0239b80f-bcc,SCH2,e961e89c,411,4c1df643,121.0,O
0239b80f-bcc,SCH2,37e150b0,413,4c1df643,126.0,S
023d6276-432,SCH6,8270455e,416,1894832b,129.0,C
023d6276-432,SCH6,7d3b1760,418,1894832b,127.0,G
023d6276-432,SCH6,fbf0f528,414,1894832b,130.0,I
023d6276-432,SCH6,f51d69df,415,1894832b,130.0,M
023d6276-432,SCH6,86835399,420,1894832b,134.0,N
02472728-188,SCH8,f63444ce,422,780b366d,131.0,E
02472728-188,SCH8,a6a6d72f,424,780b366d,,R
02472728-188,SCH8,bd53e2ef,423,780b366d,129.0,Y
024a1d5e-4cb,SCH7,71c64418,425,c75df943,128.0,M
025d9a45-958,SCH1,02523804,428,74458cb2,126.0,E
025d9a45-958,SCH1,7ecdd63d,429,74458cb2,120.0,H
025d9a45-958,SCH1,e60c7df7,426,74458cb2,127.0,I
025d9a45-958,SCH1,846db536,427,74458cb2,141.0,N
02601e4d-eb9,SCH4,9275efdf,433,0581fc9b,119.0,C
02601e4d-eb9,SCH4,a183789f,432,0581fc9b,121.0,G
02601e4d-eb9,SCH4,acfe195f,435,0581fc9b,134.0,M
02601e4d-eb9,SCH4,ba7d1e13,434,0581fc9b,135.0,R
02601e4d-eb9,SCH4,3d023600,431,0581fc9b,134.0,S
026164da-0dc,SCH4,82aa4fa6,442,a6999c79,141.0,C
026164da-0dc,SCH4,2f965541,443,a6999c79,127.0,H
026164da-0dc,SCH4,527f3421,440,a6999c79,129.0,I
026164da-0dc,SCH4,7ee9b4f0,437,a6999c79,120.0,N
026164da-0dc,SCH4,0567ced2,438,a6999c79,133.0,O
026164da-0dc,SCH4,636ee724,439,a6999c79,135.0,R
026164da-0dc,SCH4,ad327077,441,a6999c79,130.0,S
026164da-0dc,SCH4,ff5f903e,436,a6999c79,132.0,Z
0261dc1e-1d8,SCH4,86e4cd54,445,3b8d3509,127.0,H
0261dc1e-1d8,SCH4,6ef0135d,446,3b8d3509,130.0,I
0263fbd7-cea,SCH2,d2e3a44e,451,eb26738b,132.0,C
0263fbd7-cea,SCH2,648ac995,449,eb26738b,135.0,E
0263fbd7-cea,SCH2,4c52d4f1,448,eb26738b,132.0,H
0263fbd7-cea,SCH2,ce9ccf00,453,eb26738b,126.0,M
0263fbd7-cea,SCH2,602e7b36,447,eb26738b,128.0,R
0263fbd7-cea,SCH2,7742e998,454,eb26738b,127.0,T
0263fbd7-cea,SCH2,3e9a9b9b,450,eb26738b,123.0,X
0263fbd7-cea,SCH2,3ba8d3ea,452,eb26738b,120.0,Y
0268dacb-f00,SCH1,6e786343,455,4c696ac9,128.0,C
0268dacb-f00,SCH1,a613ef4e,457,4c696ac9,135.0,M
0268dacb-f00,SCH1,c7416c43,458,4c696ac9,130.0,N
0268dacb-f00,SCH1,82b8b81a,456,4c696ac9,135.0,U
02693da2-0eb,SCH3,bc29b349,460,6379586e,128.0,H
02693da2-0eb,SCH3,fd47cdaa,461,6379586e,126.0,M
027b55e4-bfd,SCH7,8ff568e2,465,cfeecd80,133.0,C
027b55e4-bfd,SCH7,033393fa,462,cfeecd80,133.0,H
027b55e4-bfd,SCH7,003382f2,463,cfeecd80,129.0,S
027b55e4-bfd,SCH7,799a79ac,466,cfeecd80,127.0,U
027d46c2-4ac,SCH7,aa3f9e16,470,0935ceb1,135.0,H
027d46c2-4ac,SCH7,4e21b7b5,472,0935ceb1,132.0,I
027d46c2-4ac,SCH7,dda21bbf,468,0935ceb1,129.0,M
027d46c2-4ac,SCH7,e1c09f80,467,0935ceb1,137.0,N
027d46c2-4ac,SCH7,5b0dfc8b,469,0935ceb1,139.0,U
0285fba6-041,SCH5,6d129ba6,473,d3fbc4ae,123.0,I
02973d54-d3f,SCH8,8a255ed1,474,f28f9a1b,127.0,H
029be0f8-b09,SCH7,e436aa87,475,5f486f48,139.0,M
029be0f8-b09,SCH7,14cb7ea2,476,5f486f48,126.0,R
029cbebb-721,SCH3,2268fc26,481,fd42fbb7,126.0,C
029cbebb-721,SCH3,219c572d,480,fd42fbb7,144.0,N
029cbebb-721,SCH3,53003070,477,fd42fbb7,131.0,O
029cbebb-721,SCH3,40363e7e,478,fd42fbb7,130.0,X
02a43603-c14,SCH5,6fbb737a,490,55c34e22,133.0,#
02a43603-c14,SCH5,0a1905a0,486,55c34e22,132.0,E
02a43603-c14,SCH5,2b42ce7b,485,55c34e22,126.0,H
02a43603-c14,SCH5,0380aa34,487,55c34e22,134.0,I
02a43603-c14,SCH5,ab5091b9,484,55c34e22,122.0,M
02a43603-c14,SCH5,fadbb60a,492,55c34e22,131.0,S
02a43603-c14,SCH5,6d08dacf,483,55c34e22,134.0,Y
02a43603-c14,SCH5,b82330de,491,55c34e22,125.0,Z
